S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.","Oliver dad made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.",奥利弗·西登在与已经在该行业工作的朋友和家人一起工作后，在三月份失去工作后，通过慈善机构Now Teach进入了教学领域。,奥利弗·父亲在与已经在该行业工作的朋友和家人一起工作后，在三月份失去工作后，通过慈善机构Now Teach进入了教学领域。,0,,
"While the number of deaths reported is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.","While the number of developments reported is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.",虽然报告的死亡人数高于前几天，但由于周末报告的延迟，本周初通常会增加。,虽然报告的发展数量高于前几天，但由于周末报告的延迟，本周初通常会增加。,0,,
"We have staff who have moved out to live elsewhere in order to protect relatives at home, staff who have cancelled holidays, who aren' t seeing their loved ones because they' re dedicated to working here and they see the urgency.","We have staff who have moved out to live elsewhere in order to protect relatives at home, writers who have cancelled holidays, who aren' t seeing their loved ones because they' re dedicated to working here and they see the urgency.",我们有工作人员为了保护家里的亲人而搬到其他地方居住，有些工作人员取消了假期，他们因为致力于在这里工作而看不到亲人，他们看到了紧迫性。,我们有工作人员为了保护家里的亲戚而搬到别处居住，有取消假期的作家，他们因为致力于在这里工作而看不到亲人，他们看到了紧迫性。,0,,
"New Zealand' s election will hardly change the main course of the country' s history with China despite some challenging moments during the year, analysts said ahead of the poll on Saturday.","New Zealand' s election will hardly change the main course of the country' s history with China despite some challenging moments during the test, analysts said ahead of the poll on Saturday.",分析师在周六的民意调查前表示，尽管今年有一些具有挑战性的时刻，但新西兰的选举几乎不会改变该国与中国历史的主要进程。,分析师在周六的民意调查前表示，新西兰的选举几乎不会改变该国与中国历史的主要进程，尽管在测试期间有一些具有挑战性的时刻。,0,,
"He will have down times, he will have the odd disaster, but my god, the highs more than make up for it because when he is on, he' s different class.","He will have down times, he will have the odd disaster, but my heart, the highs more than make up for it because when he is on, he' s different class.",他会有低谷的时候，他会有奇怪的灾难，但我的上帝，高潮足以弥补它，因为当他上场时，他是不同的阶级。,他会有低谷的时候，他会有奇怪的灾难，但我的心，高潮足以弥补它，因为当他上场时，他是不同的阶级。,0,,
"With earlier doubts and fears now all but dissipated, she now felt at ease with minor plastic surgery, she says, and acknowledges that it had become more addictive.","With earlier doubts and fears now all but dissipated, she now felt at ease with minor plastic surgery, she says, and acknowledges that it had become more held.",她说，随着早期的怀疑和恐惧现在几乎消散，她现在对小整形手术感到放心，并承认它已经变得更加容易上瘾。,她说，随着早期的怀疑和恐惧现在几乎消散，她现在对小型整形手术感到放心，并承认它已经变得更加固定。,0,,
We are very committed to operating in that way and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,We are very committed to operating in that way and of course that is one of our advantages to tourists that we are doing everything to make laura safe and secure.,我们非常致力于以这种方式运营，当然这是我们对游客的优势之一，我们正在尽一切努力使旅游业安全可靠。,我们非常致力于以这种方式运营，当然这是我们对游客的优势之一，我们正在尽一切努力使劳拉安全可靠。,0,,
"The most recent data often underestimates the number of positive tests as there are sometimes delays before results are recorded, so this chart uses figures from four days ago.","The most recent data often included the number of positive tests as there are sometimes delays before results are recorded, so this chart uses figures from four days ago.",最新的数据往往低估了阳性检测的数量，因为在记录结果之前有时会有延迟，因此此图表使用了四天前的数字。,最新的数据通常包括阳性测试的数量，因为在记录结果之前有时会有延迟，因此此图表使用了四天前的数字。,0,,
"The major barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests, coupled with concerns about their accuracy.","The major barriers to the theory of rapid testing seem to be a lack of guidance on when and how to use the tests, coupled with concerns about their accuracy.",使用快速检测的主要障碍似乎是缺乏关于何时以及如何使用检测的指导，加上对其准确性的担忧。,快速检测理论的主要障碍似乎是缺乏关于何时以及如何使用检测的指导，以及对其准确性的担忧。,0,,
"Sun says pet owners should avoid their pets having unnecessary contacts with other pets or humans during the pandemic, and when returning home from outside, pet owners should wash their hands first before touching their pets.","Sun says pet owners should avoid their pets having unnecessary contacts with other pets or humans during the nocturnal, and when returning home from outside, pet owners should wash their hands first before touching their pets.",孙说，在疫情期间，宠物主人应避免宠物与其他宠物或人类进行不必要的接触，从外面回家时，宠物主人应该先洗手，然后再触摸宠物。,孙说，宠物主人应该避免他们的宠物在夜间与其他宠物或人类进行不必要的接触，当从外面回家时，宠物主人应该先洗手，然后再触摸他们的宠物。,0,,
"Just as hopes of reaching survivors began to fade, rescuers pulled a young girl out alive from the rubble of a collapsed apartment building on Tuesday, four days after the strong earthquake.","Just as hopes of reaching survivors began to fade, jim pulled a young girl out alive from the rubble of a collapsed apartment building on Tuesday, four days after the strong earthquake.",就在接近幸存者的希望开始消退时，救援人员在强烈地震发生四天后的星期二，从一栋倒塌的公寓楼的废墟中救出一名年轻女孩。,就在找到幸存者的希望开始消退时，吉姆在强烈地震发生四天后的星期二，从一栋倒塌的公寓楼的废墟中活着救出了一个年轻女孩。,1,,活着
"It ’ s a way of portraying these nations as forces for good in the world, rather than necessarily interrogating the parts of the history which makes them something very different.","It ’ s a way of portraying these nations as forces for good in the world, rather than necessarily paying the parts of the history which makes them something very different.",这是一种将这些国家描绘成世界上向善的力量的方式，而不是一定要质疑历史中使它们与众不同的部分。,这是一种将这些国家描绘成世界上向善的力量的方式，而不是必然支付历史中使它们与众不同的部分。,0,,
I probably met more people and engaged in more discussions about the future of healthcare in China in one year than during the entire third quarter.,I probably married more people and engaged in more discussions about the future of healthcare in China in one year than during the entire third quarter.,我可能在一年内遇到了更多的人，并参与了更多关于中国医疗保健未来的讨论，而不是整个第三季度。,我可能比整个第三季度在一年内结了更多的人，参与了更多关于中国医疗保健未来的讨论。,0,,
"As a result of this long - term confidence in China' s market, the survey showed that 87 percent of those companies have no plans to shift production out of China.","As a result of this long - term confidence in China' s market, the survey showed that 87 percent of those companies have no labor to shift production out of China.",由于对中国市场的长期信心，调查显示，87%的公司没有计划将生产转移到中国以外。,由于对中国市场的长期信心，调查显示，这些公司中有87%没有劳动力将生产转移到中国以外。,0,,
