S_s,S_f,T_s,T_f,Limitation-B,Limitation-text
"Mink , like their close relatives , ferrets , are known to be susceptible to coronavirus , and like humans , they can show a range of symptoms , from no signs of illness at all to severe problems , such as pneumonia.","Mink , like their close relatives , ferrets ,",水貂和牠们的近亲雪貂一样，对冠状病毒易感，和人类一样，牠们可以表现出一系列的症状，从完全没有疾病迹象到严重的问题，如肺炎。,水貂，像它们的近亲雪貂一样，,,True
a collapsed apartment building on Tuesday,a collapsed apartment building,周二倒塌的公寓楼,一栋倒塌的公寓楼,,
the $ 130000 retirement savings gap between Blacks and Whites,the $ 130000 retirement savings gap,黑人和白人之间13万美元的退休储蓄缺口,130000美元的退休储蓄缺口,,
We have also developed packaging and storage innovations to be used for purpose for the range of locations where we believe it will take place.,locations where we believe it will take place.,我们还开发了包装和存储创新，用于我们认为将要发生的一系列地点。,我们相信它将发生的地点。,,True
"Typically , I watch a great deal of television for my job and entertainment , especially during Emmy season , when I have a lengthy list of must - watch prestige programming.",a lengthy list of must - watch,通常，我看大量的电视是为了我的工作和娱乐，特别是在艾美奖季，当我有一长串必须看的节目时。,一长串必须 - 观看,,True
"It also means that elective surgeries are being put off for things like hip replacements , for cancer patients or heart surgery in some cases.",things like hip replacements,这也意味着选择性手术被推迟，例如髋关节置换术，在某些情况下，癌症患者或心脏手术。,诸如髋关节置换术之类的事情,,True
"the eyes of Zhang Luowei , who has worked with her","Zhang Luowei , who has worked with her",与她共事过的张洛薇的眼神,曾与她合作过的张洛威,,True
"its suitability for watersports like fishing , sailing and snorkeling.","watersports like fishing , sailing and snorkeling.",它适合钓鱼，帆船和浮潜等水上运动。,水上运动，如钓鱼、帆船和浮潜。,,
He said the move would allow the government to boost the economy whenever it is needed rather than just after a large shock such as the pandemic.,a large shock such as the pandemic.,他说，此举将使政府能够在需要时提振经济，而不仅仅是在大流行等大冲击之后。,像大流行这样的大冲击。,,True
"During the national day holiday , Xinjiang and Ningxia were among the top two destinations that saw the fastest spending growth on a daily basis , according to UnionPay data.",the fastest spending growth,根据银联的数据，在国庆假期期间，新疆和宁夏是每日消费增长最快的两个目的地之一。,支出增长最快,,True
Cesc Fabregas is well known for his technical ability and eye for a pass but the Spanish soccer star has turned his attention to a very different part of the game.,a very different part of the game.,法布雷加斯以其技术能力和传球眼光而闻名，但这位西班牙足球明星已经将注意力转向了比赛中一个非常不同的部分。,游戏中一个非常不同的部分。,,True
"Borrowers who have not yet had a mortgage holiday can request from their bank a pause in payment , that can last up to six months.","payment , that can last up to six months.",尚未享受抵押贷款假期的借款人可以要求银行暂停付款，最长可达六个月。,付款 ，可以持续长达六个月。,,True
"Bairstow , who has represented England in every format of the game , has been recently playing in the Indian Premier League with Sunrisers Hyderabad.",every format of the game,贝尔斯托代表英格兰参加了各种形式的比赛，最近在印度超级联赛中效力于海得拉巴的Sunrisers。,各种形式的游戏,,True
"All over the world , many hospitals are already at their breaking point , with overwhelmed and overworked staff members and a continuing surge of patients.",a continuing surge of patients.,在世界各地，许多医院已经处于崩溃的边缘，工作人员不堪重负，过度劳累，病人持续激增。,患者持续激增。,,True
