S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f,LLM
"In it , he wrote about run - ins with burglars who left easter eggs as their calling card , or a stolen horse that was wrecking local cars.",burglars who left easter eggs as their calling card,在其中，他写了关于与入室盗贼的冲突，他们留下复活节彩蛋作为他们的名片，或者一匹被偷的马在当地车辆上造成破坏的故事。,留下复活节彩蛋作为他们的名片的入室盗贼,0,,,GPT-3.5-turbo-1106
"The world ' s poorest and most vulnerable must not be "" trampled in the stampede "" for Covid - 19 vaccines , the head of the World Health Organization has warned.",the head of the World Health Organization,世界卫生组织负责人警告说，世界上最贫困和最脆弱的人群不应该在新冠疫苗的争夺中被践踏。,世界卫生组织负责人,0,,,GPT-3.5-turbo-1106
"After three years , the man ' s account was still active , at which point Panorama contacted the company.",the man ' s account,三年后，这个人的账户仍然处于活跃状态，此时《全景》联系了这家公司。,这个人的账户,0,,,GPT-3.5-turbo-1106
"cultural divides , economic disintegration and a suspicion of the white Latinx citizens , particularly recent immigrants.","the white Latinx citizens , particularly recent immigrants.",文化分歧、经济瓦解以及对白人拉丁裔公民的怀疑，尤其是最近的移民。,白人拉丁裔公民，尤其是最近的移民。,0,,,GPT-3.5-turbo-1106
"sailing more exciting , easier to participate and to become a showcase of human power combined with the energy of nature.",human power combined with the energy of nature.,让航行更加刺激、更容易参与，并成为人类力量与自然能量相结合的展示。,人类力量与自然能量相结合,0,,,GPT-3.5-turbo-1106
"It might be said that the great writers of each generation have not only succeeded in evoking a place or people , but also found a distinctive , previously unheard voice through which to do so.","a distinctive , previously unheard voice",可以说，每一代伟大的作家不仅成功地唤起了一个地方或人民，而且还找到了一个独特的、以前未曾听见的声音来实现这一点。,独特的、以前未曾听见的声音,0,,,GPT-3.5-turbo-1106
"In the fruit , as well as being attacked by the pathogen , the holes and spaces formed by the voracious eaters can invite secondary pathogens into the tomato , causing it to rot.",the holes and spaces formed by the voracious eaters,在水果中，除了受到病原体的攻击外，被贪婪的食客形成的洞和空间也可能会邀请次生病原体进入番茄，导致它腐烂。,被贪婪的食客形成的洞和空间,0,,,GPT-3.5-turbo-1106
Hamilton and Wolff had put off contract talks because they wanted to secure the drivers ' and constructors ' championships first.,the drivers ' and constructors,Hamilton和Wolff推迟了合同谈判，因为他们想先确保车手和车队冠军。,车手和车队,0,,,GPT-3.5-turbo-1106
A recent play takes the lingering fragrance of good food as its central plot as it highlights the feats of women and the differences.,the feats of women and the differences.,最近一部戏剧以美食的余香为中心情节，突出了女性的成就和差异。,女性的成就和差异。,0,,,GPT-3.5-turbo-1106
"All over the world , many hospitals are already at their breaking point , with overwhelmed and overworked staff members and a continuing surge of patients.",a continuing surge of patients.,世界各地，许多医院已经快要承受不住了，工作人员不堪重负，病人数量持续激增。,持续激增的病人数量。,0,,,GPT-3.5-turbo-1106
"In it , he wrote about run - ins with burglars who left easter eggs as their calling card , or a stolen horse that was wrecking local cars.",burglars who left easter eggs as their calling card,他在其中写了与贼行打劫的故事，他们留下很多征兆，如埋蛋的征兆，或者是一匹被盗的马，它损坏了当地的车辆。,留下埋蛋的贼行,0,,,Llama-2-70b-chat
"The world ' s poorest and most vulnerable must not be "" trampled in the stampede "" for Covid - 19 vaccines , the head of the World Health Organization has warned.",the head of the World Health Organization,世界最贫穷和最脆弱的人不能被'踩踏'在COVID-19疫苗的恐慌中，世界卫生组织的负责人已经警告。,世界卫生组织的负责人,0,,,Llama-2-70b-chat
"After three years , the man ' s account was still active , at which point Panorama contacted the company.",the man ' s account,三年之后，男子的账户仍然 актив，于是全景contacted公司。,男子的账户,1, актив,,Llama-2-70b-chat
"cultural divides , economic disintegration and a suspicion of the white Latinx citizens , particularly recent immigrants.","the white Latinx citizens , particularly recent immigrants.",文化分歧，经济瓦解，对白人拉丁裔公民的怀疑，尤其是新移民。,白人拉丁裔公民，尤其是新移民。,0,,,Llama-2-70b-chat
"sailing more exciting , easier to participate and to become a showcase of human power combined with the energy of nature.",human power combined with the energy of nature.,ailsing更加刺激，易于参与，并成为人类力量与自然能量的展示。,人类力量与自然能量的结合,1,ailsing,结合,Llama-2-70b-chat
"It might be said that the great writers of each generation have not only succeeded in evoking a place or people , but also found a distinctive , previously unheard voice through which to do so.","a distinctive , previously unheard voice",每个时代的伟大作家都可能被说成不仅唤醒了一个地方或人民，而且还发现了一种独特、以往未被听到的声音，通过它来做所。,一种独特、以往未被听到的声音,0,,,Llama-2-70b-chat
"In the fruit , as well as being attacked by the pathogen , the holes and spaces formed by the voracious eaters can invite secondary pathogens into the tomato , causing it to rot.",the holes and spaces formed by the voracious eaters,在水果中，除了被病原体攻击，贪婪的食者也会形成孔隙和空间，邀请次级病原体入侵番茄，使其腐烂。,贪婪的食者形成的孔隙和空间,0,,,Llama-2-70b-chat
Hamilton and Wolff had put off contract talks because they wanted to secure the drivers ' and constructors ' championships first.,the drivers ' and constructors,汉密尔顿和沃尔夫在等待合同谈判之前，他们想确保车手和制造商的冠军。,车手和制造商,0,,,Llama-2-70b-chat
A recent play takes the lingering fragrance of good food as its central plot as it highlights the feats of women and the differences.,the feats of women and the differences.,最 recent 剧作以美食的残降香气为中心情节，突出女性的功绩和差异。,女性的功绩和差异。,1,最 recent,,Llama-2-70b-chat
"All over the world , many hospitals are already at their breaking point , with overwhelmed and overworked staff members and a continuing surge of patients.",a continuing surge of patients.,全世界各地，许多医院已经达到爆点，工作繁重的医护人员和一波不断的患者潮。,一波不断的患者潮。,0,,,Llama-2-70b-chat
"In it , he wrote about run - ins with burglars who left easter eggs as their calling card , or a stolen horse that was wrecking local cars.",burglars who left easter eggs as their calling card,在书中，他描述了与窃贼的冲突，这些窃贼留下复活节彩蛋作为他们的标记，或者是一匹偷来的马，这匹马毁坏了当地的汽车。,把复活节彩蛋作为标记的窃贼。,1,留下,,ERNIE-Bot-3.5
"The world ' s poorest and most vulnerable must not be "" trampled in the stampede "" for Covid - 19 vaccines , the head of the World Health Organization has warned.",the head of the World Health Organization,世界卫生组织总干事警告称，在抗击新冠病毒的疫苗接种中，世界上最贫穷和最脆弱的人不应成为“被践踏的牺牲品”。,世界卫生组织总干事。,0,,,ERNIE-Bot-3.5
"After three years , the man ' s account was still active , at which point Panorama contacted the company.",the man ' s account,三年后，该男子的账户仍然处于活跃状态，此时《全景》联系了该公司。,该男子的账户。,0,,,ERNIE-Bot-3.5
"cultural divides , economic disintegration and a suspicion of the white Latinx citizens , particularly recent immigrants.","the white Latinx citizens , particularly recent immigrants.",文化分歧、经济分裂以及对拉丁裔白人公民，尤其是新移民的猜疑。,拉丁裔白人公民，尤其是新移民。,0,,,ERNIE-Bot-3.5
"sailing more exciting , easier to participate and to become a showcase of human power combined with the energy of nature.",human power combined with the energy of nature.,帆船运动更刺激、更易于参与，同时也成为展示人类力量与自然能量的舞台。,结合了人类力量与自然能量的。,1,,结合了,ERNIE-Bot-3.5
"It might be said that the great writers of each generation have not only succeeded in evoking a place or people , but also found a distinctive , previously unheard voice through which to do so.","a distinctive , previously unheard voice",可以说，每一代的伟大作家不仅成功地唤起了一个地方或人群，而且还找到了一种独特的、前所未有的声音，通过这种声音来做到这一点。,一种独特的、前所未有的声音。,0,,,ERNIE-Bot-3.5
"In the fruit , as well as being attacked by the pathogen , the holes and spaces formed by the voracious eaters can invite secondary pathogens into the tomato , causing it to rot.",the holes and spaces formed by the voracious eaters,在水果中，除了受到病原体的攻击外，被贪婪的食客形成的洞和空隙也会吸引次生病原体进入番茄，导致其腐烂。,被贪婪的食客形成的洞和空隙。,0,,,ERNIE-Bot-3.5
Hamilton and Wolff had put off contract talks because they wanted to secure the drivers ' and constructors ' championships first.,the drivers ' and constructors,汉密尔顿和沃尔夫推迟了合同谈判，因为他们想先确保车手和车队的冠军头衔。,车手和车队。,0,,,ERNIE-Bot-3.5
A recent play takes the lingering fragrance of good food as its central plot as it highlights the feats of women and the differences.,the feats of women and the differences.,一部近期的戏剧以美味的余香为中心情节，突出了女性的壮举和差异,女性的壮举和差异。,0,,,ERNIE-Bot-3.5
"All over the world , many hospitals are already at their breaking point , with overwhelmed and overworked staff members and a continuing surge of patients.",a continuing surge of patients.,全世界很多医院已经到了崩溃的边缘，工作人员不堪重负、过度劳累，病人持续激增。,病人持续激增。,0,,,ERNIE-Bot-3.5
