S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
The number of visitors who have checked into hotels and restaurants in the area around the lake,the area around the lake,入住环湖地区酒店、餐厅的游客人数,湖周围地区,0,,
"animals it changes , and if it changes too much from the one that is circulating within humans at the moment , that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.",any vaccine or treatment that will be produced soon,它会改变动物，如果它与目前在人类体内传播的病毒相比变化太大，那可能意味着即将生产的任何疫苗或治疗方法可能无法发挥应有的作用。,任何即将生产的疫苗或治疗方法,0,,
So if you detect it early this is a really treatable disease and it ' s why I wanted to take you along my journey so we can all learn together how to educate and protect the men in our lives.,a really treatable disease,所以如果你及早发现它，这是一种真正可以治疗的疾病，这就是为什么我想带你一起去我的旅程，这样我们就可以一起学习如何教育和保护我们生活中的男人。,一种真正可以治疗的疾病,0,,
"In this brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.",a snapshot of the mindset of Chinese,在这部简短的影片中，我们简要了解了 20 多岁的中国人的心态，他们热爱夜生活，但一心要保持身体健康，包括外表，即使他们两头烧蜡烛。,中国人心态的快照,1,简要了解,快照
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.",friends and family members,奥利弗·西顿在与已经从事该行业的朋友和家人一起从事教学工作后，在 3 月份失业后，通过慈善机构 Now Teach 转向教学。,朋友和家人,0,,
"While the number of deaths reported is higher than previous days , there is often an increase at the beginning of the week due to delays in weekend reporting.",the number of deaths reported,虽然报告的死亡人数高于前几天，但由于周末报告的延迟，往往会在本周初有所增加。,报告的死亡人数,0,,
"While some artists at her age have been left behind by new technologies , Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that visitors often request by name.",the world of contemporary art,虽然她这个年纪的一些艺术家已经被新技术抛在了后面，但陈却克服了困难进入了当代艺术世界，并成为了参观者经常点名要求的 UCCA 的一名导览员。,当代艺术世界,0,,
"When she was working as a statistician at a refrigeration plant after finishing school in Beijing in 1987 , chen never imagined that she would one day become obsessed with dancing.",a statistician at a refrigeration plant,1987年在北京完成学业后在一家制冷厂做统计员时，陈从未想过自己有一天会迷上舞蹈。,制冷厂的统计员,0,,
"New Zealand ' s election will hardly change the main course of the country ' s history with China despite some challenging moments during the year , analysts said ahead of the poll on Saturday.",New Zealand ' s election,分析人士在周六的投票前表示，尽管新西兰在这一年中遇到了一些具有挑战性的时刻，但新西兰的大选几乎不会改变该国与中国的主要历史进程。,新西兰的选举,0,,
"Mink , like their close relatives , ferrets , are known to be susceptible to coronavirus , and like humans , they can show a range of symptoms , from no signs of illness at all to severe problems , such as pneumonia.","Mink , like their close relatives , ferrets ,",水貂和它们的近亲雪貂一样，众所周知容易感染冠状病毒，并且像人类一样，它们可以表现出一系列症状，从完全没有疾病迹象到出现严重问题，例如肺炎。,水貂，像它们的近亲，雪貂，,0,,
"Later , after speaking with friends and acquiring a fairly questionable Google search history , I found out that stumbling across an au naturel enclave in a city park or beach is practically a rite of passage in Berlin.",a city park or beach,后来，在与朋友交谈并获得相当可疑的谷歌搜索历史后，我发现在城市公园或海滩偶然发现自然飞地实际上是柏林的一种成人礼。,城市公园或海滩,0,,
a taste that is not as pungent as larger durian varieties.,larger durian varieties.,味道不像较大的榴莲品种那么刺鼻。,更大的榴莲品种。,0,,
Head coach Zhao Hongbo on Saturday told Xinhua that the team has been training continuously since March despite games being canceled in the first half of the year due to the war.,Head coach Zhao Hongbo,主教练赵宏博周六告诉新华社，尽管上半年比赛因战争而取消，但球队自 3 月以来一直在持续训练。,主教练赵洪波,0,,
Denmark ' s mass culling of millions of mink,Denmark ' s mass culling,丹麦大规模扑杀数百万只水貂,丹麦的大规模屠杀,0,,
the popularization of English education for the children,English education for the children,少儿英语教育的普及,孩子的英语教育,0,,
"With earlier doubts and fears now all but dissipated , she now felt at ease with minor plastic surgery , she says , and acknowledges that it had become more addictive.",minor plastic surgery,她说，随着早前的疑虑和恐惧几乎烟消云散，她现在对小整形手术感到很自在，并承认它变得更容易上瘾。,小型整形手术,0,,
the things that he brings and trying to negate that is difficult because he is a relatively resilient character who will continue to bring that irrespective of how the game ' s going for them.,a relatively resilient character,他带来的东西和试图否定的东西是困难的，因为他是一个相对有弹性的角色，无论比赛如何进行，他都会继续带来这些。,一个相对有弹性的角色,0,,
"the unreliable entities and blacklist of foreign parties that harm the legitimate interests of Chinese companies , which became effective on Saturday.","Chinese companies , which became effective on Saturday.",损害中国企业合法利益的不可靠实体和外方黑名单，于周六生效。,周六生效的中国公司。,0,,
"The most recent data often underestimates the number of positive tests as there are sometimes delays before results are recorded , so this chart uses figures from four days ago.",figures from four days,最新数据往往低估了阳性测试的数量，因为有时在记录结果之前会有延迟，因此该图表使用四天前的数据。,四天的数字,0,,
"The major barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests , coupled with concerns about their accuracy.",the use of rapid testing,使用快速测试的主要障碍似乎是缺乏关于何时以及如何使用测试的指导，以及对其准确性的担忧。,快速检测的使用,0,,
"Sun says pet owners should avoid their pets having unnecessary contacts with other pets or humans during the pandemic , and when returning home from outside , pet owners should wash their hands first before touching their pets.",unnecessary contacts with other pets or humans,孙说，宠物主人在大流行期间应避免宠物与其他宠物或人类进行不必要的接触，从外面回家时，宠物主人应先洗手再接触宠物。,与其他宠物或人类不必要的接触,0,,
