S_s,S_f,T_s,T_f,Limitation-B,Limitation-text
The number of visitors who have checked into hotels and restaurants in the area around the lake,the area around the lake,入住环湖地区酒店、餐厅的游客人数,湖周围地区,,True
Head coach Zhao Hongbo on Saturday told Xinhua that the team has been training continuously since March despite games being canceled in the first half of the year due to the war.,Head coach Zhao Hongbo,主教练赵宏博周六告诉新华社，尽管上半年比赛因战争而取消，但球队自 3 月以来一直在持续训练。,主教练赵洪波,,True
the popularization of English education for the children,English education for the children,少儿英语教育的普及,孩子的英语教育,,True
"the unreliable entities and blacklist of foreign parties that harm the legitimate interests of Chinese companies , which became effective on Saturday.","Chinese companies , which became effective on Saturday.",损害中国企业合法利益的不可靠实体和外方黑名单，于周六生效。,周六生效的中国公司。,,True
"Seventy percent of the late sleepers said they could sleep seven hours a day , and only 8 percent said they suffered from severe sleep deprivation , with average sleep of five hours or less.",seven hours a day,70% 的晚睡者表示他们每天可以睡 7 个小时，只有 8% 的人表示他们遭受严重的睡眠剥夺，平均睡眠时间为 5 小时或更少。,一天七小时,,True
"People arriving in England will be soon able to reduce their quarantine period by more than half if they pay for a Covid test after five days , the transport agency has announced.",People arriving in England,运输机构宣布，如果抵达英格兰的人在五天后支付 Covid 测试费用，他们将很快能够将隔离期缩短一半以上。,到达英国的人,,True
the $ 130000 retirement savings gap between Blacks and Whites,the $ 130000 retirement savings gap,"黑人和白人之间 130,000 美元的退休储蓄差距","130,000 美元的退休储蓄缺口",,True
a chance to participate in scientific research on how to help preserve it during an all - expense paid trip to Antarctica.,an all - expense paid trip,在全额付费的南极洲之旅中，有机会参与有关如何帮助保护它的科学研究。,一次全部费用的付费旅行,,True
We have also developed packaging and storage innovations to be used for purpose for the range of locations where we believe it will take place.,locations where we believe it will take place.,我们还开发了包装和存储创新，用于我们认为会发生的一系列地点。,我们认为它将发生的地点。,,
"Typically , I watch a great deal of television for my job and entertainment , especially during Emmy season , when I have a lengthy list of must - watch prestige programming.",a lengthy list of must - watch,通常，为了工作和娱乐，我会看大量电视节目，尤其是在艾美奖颁奖季，那时我有一长串必看的知名节目。,一长串必看的清单,,True
"She became the first Bachelorette to find love so quickly that she did not even finish her season of the show , and now she and contestant dale moss are engaged.",contestant dale moss,她成为第一个如此迅速找到爱情的单身女郎，以至于她甚至没有完成她的演出季，现在她和参赛者戴尔莫斯订婚了。,选手戴尔莫斯,,True
"Romanelli , who has spent six years living in China , attributed this exceptional performance in part to the government ' s comprehensive approach to public health measures and policies that protect business and incentivize investment.",the government ' s comprehensive approach,在中国生活了六年的 Romanelli 将这种出色的表现部分归功于政府采取全面的公共卫生措施和政策来保护企业和激励投资。,政府的综合方法,,True
"It also means that elective surgeries are being put off for things like hip replacements , for cancer patients or heart surgery in some cases.",things like hip replacements,这也意味着择期手术被推迟，例如髋关节置换术、癌症患者或某些情况下的心脏手术。,髋关节置换之类的东西,,True
"In it , he wrote about run - ins with burglars who left easter eggs as their calling card , or a stolen horse that was wrecking local cars.",burglars who left easter eggs as their calling card,在其中，他写到与窃贼发生冲突，这些窃贼将复活节彩蛋作为他们的名片，或者一匹偷来的马正在毁坏当地的汽车。,留下复活节彩蛋作为名片的窃贼,,
He said the move would allow the government to boost the economy whenever it is needed rather than just after a large shock such as the pandemic.,a large shock such as the pandemic.,他说，此举将使政府能够在需要时提振经济，而不是在大流行等大冲击之后才采取行动。,像大流行病这样的大冲击。,,True
