S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since mid-March.,The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since mid-March as compared with the early days of the COVID-19 program.,自3月中旬以来，在湖区入住酒吧和餐馆的游客人数也大幅增加。,与 COVID-19 计划的早期相比，自 3 月中旬以来，在湖区登记入住酒吧和餐馆的游客人数也显着增加。,0,,
"Every time the virus passes between animals it changes, and if it changes too much from the one that is circulating within animals at the moment, any vaccine or treatment that will be produced soon might not work as well as it should do.","Every time the virus passes between animals it changes, and if it changes too much from the one that is circulating within animals at the moment, that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.",每次病毒在动物之间传播时，它都会发生变化，如果它与目前在动物体内传播的病毒变化太大，任何即将生产的疫苗或治疗方法都可能无法发挥应有的作用。,每次病毒在动物之间传播时，它都会发生变化，如果它与目前在动物体内传播的病毒变化太大，这可能意味着即将生产的任何疫苗或治疗方法都可能无法发挥应有的作用。,0,,
So if you detect it early this is a really treatable disease and it's why I wanted to take you along my journey.,So if you detect it early this is a really treatable disease and it's why I wanted to take you along my journey so we can all learn together how to help and protect the men in our lives.,所以如果你及早发现它，这是一种真正可以治疗的疾病，这就是为什么我想带你走我的旅程。,因此，如果你及早发现它，这是一种真正可以治疗的疾病，这就是为什么我想带你走我的旅程，这样我们就可以一起学习如何帮助和保护我们生活中的男人。,0,,
"In this final scene we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife, but are intent on preserving their physical health, and looks, even as they light the candle.","In this final scene we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife, but are intent on preserving their physical health, and looks, even as they light the candle at both ends.",在最后一个场景中，我们看到了20多岁的中国人的心态，他们热爱夜生活，但一心想保持自己的身体健康和外表，即使他们点燃蜡烛。,在最后一个场景中，我们看到了20多岁的中国人的心态，他们热爱夜生活，但一心想保持身体健康和外表，即使他们在两端点燃蜡烛。,0,,
Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members while working in the profession.,"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members while working in the profession, and after losing his father in March.",奥利弗·西登在从事该行业时与朋友和家人一起从事教学工作后，通过慈善机构Now Teach进入了教学领域。,奥利弗·西登在从事该行业时与朋友和家人一起从事教学工作，并在三月份失去父亲后，通过慈善机构Now Teach进入教学领域。,0,,
"While the number of deaths recorded is higher than previous days, there is often an increase at the beginning of the week.","While the number of deaths recorded is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.",虽然记录的死亡人数高于前几天，但本周初通常会增加。,虽然记录的死亡人数高于前几天，但由于周末报告的延迟，本周初通常会增加。,0,,
"While some people at her age have been left behind by modern technologies, Chen has beaten the odds to enter the world of contemporary art.","While some people at her age have been left behind by modern technologies, Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that students often request by name.",虽然有些和她这个年纪的人被现代技术甩在了后面，但陈奕迅却克服了困难，进入了当代艺术的世界。,虽然有些与她同龄的人被现代技术甩在了后面，但陈奕迅却克服了困难，进入了当代艺术界，成为UCCA的讲解员，学生们经常点名道姓。,0,,
"When she was working as a model at a refrigeration plant after high school in Beijing in 1987, she would one day become obsessed with dancing.","When she was working as a model at a refrigeration plant after high school in Beijing in 1987, chen had imagined that she would one day become obsessed with dancing.",1987年，当她在北京高中毕业后在一家制冷厂做模特时，有一天她会迷上舞蹈。,1987年高中毕业后，她在北京一家制冷厂做模特时，陈曾想象过自己有一天会迷上舞蹈。,0,,
"We have staff who have moved out to live elsewhere in order to protect relatives at home, and who have cancelled holidays, who aren't seeing their loved ones because they're used to working here.","We have staff who have moved out to live elsewhere in order to protect relatives at home, and who have cancelled holidays, who aren't seeing their loved ones because they're used to working here and they see the urgency.",我们的工作人员为了保护家里的亲人而搬到别处居住，他们取消了假期，因为他们习惯于在这里工作，所以看不到亲人。,我们的工作人员为了保护家里的亲人而搬到别处居住，他们取消了假期，他们因为习惯在这里工作而看不到亲人，他们看到了紧迫性。,0,,
"Success will depend on reassuring them that they can afford these new technologies, that they will deliver their own needs, and critically that they can recharge.","Success will depend on reassuring them that they can afford these new technologies, that they will deliver their own needs, and critically that they can recharge as easily as they want.",成功将取决于向他们保证他们能够负担得起这些新技术，他们将满足自己的需求，并且至关重要的是他们可以充电。,成功将取决于向他们保证他们能够负担得起这些新技术，他们将满足自己的需求，并且至关重要的是他们可以随心所欲地充电。,0,,
"Perez can be anonymous some weekends, but then he can produce these fine paintings that come out of nowhere, to be best of the rest or to snatch a podium, which he has done so many times.","Perez can be anonymous some weekends, but then he can produce these fine paintings that come out of nowhere, to be best of the rest or to snatch a podium, which he has done so many times in the machinery.",佩雷斯可以在一些周末匿名，但随后他可以创作出这些不知从何而来的精美画作，成为最好的其他人，或者抢夺领奖台，他已经做过很多次了。,佩雷斯可以在一些周末默默无闻，但随后他可以创作出这些不知从何而来的精美画作，成为其他人中最好的，或者抢夺领奖台，他在机器中做过很多次。,1,匿名,默默无闻
New Zealand's election will hardly change the main course of the country's history with China despite some challenging moments during the year.,"New Zealand's election will hardly change the main course of the country's history with China despite some challenging moments during the year, analysts said ahead of the election on Saturday.",新西兰的选举几乎不会改变该国与中国历史的主要进程，尽管今年有一些充满挑战的时刻。,分析师在周六大选前表示，尽管今年有一些具有挑战性的时刻，但新西兰的选举几乎不会改变该国与中国历史的主要进程。,0,,
"Models of our scientists suggest that unless we leave now, we could see deaths over the winter.","Models of our scientists suggest that unless we leave now, we could see deaths over the winter that are either as bad or more compared with the first wave.",我们科学家的模型表明，除非我们现在离开，否则我们可能会在冬天看到死亡。,我们科学家的模型表明，除非我们现在离开，否则我们可能会看到冬季的死亡与第一波相比一样糟糕或更多。,0,,
"Mink, like their close relatives, ferrets, are known to be susceptible to coronavirus, and like humans, they can show a variety of symptoms, from no signs of infection at all to severe problems.","Mink, like their close relatives, ferrets, are known to be susceptible to coronavirus, and like humans, they can show a variety of symptoms, from no signs of infection at all to severe problems, such as blindness.",众所周知，水貂和它们的近亲雪貂一样，对冠状病毒敏感，和人类一样，它们可以表现出各种症状，从完全没有感染迹象到严重的问题。,众所周知，水貂和它们的近亲雪貂一样，对冠状病毒敏感，和人类一样，它们可以表现出各种症状，从完全没有感染迹象到失明等严重问题。,0,,
"Later, after speaking with her and acquiring a very questionable Google search history, I found out that stumbling across an au naturel enclave is practically a rite of passage in Berlin.","Later, after speaking with her and acquiring a very questionable Google search history, I found out that stumbling across an au naturel enclave in a public park or beach is practically a rite of passage in Berlin.",后来，在与她交谈并获得了一个非常可疑的谷歌搜索历史后，我发现偶然发现一个自然飞地实际上是柏林的通过仪式。,后来，在与她交谈并获得了一个非常可疑的谷歌搜索历史后，我发现在公园或海滩上偶然发现一个自然飞地实际上是柏林的成年礼。,1,通过仪式,成年礼
"Kraisorn said a small number of Chinese people prefer to eat durians that are small in size, with smooth and creamy flesh.","Kraisorn said a small number of Chinese people prefer to eat durians that are small in size, with smooth and creamy flesh, and with a smell that is not as strong as larger durian varieties.",克莱索恩说，少数中国人更喜欢吃体积小、果肉光滑奶油状的榴莲。,克莱索恩说，少数中国人喜欢吃体积小、果肉光滑奶油状、气味不如大型榴莲品种强烈的榴莲。,0,,
Head coach Zhao Hongbo on Saturday told Xinhua that the team has been training continuously since March despite it being canceled in the first half of the season.,Head coach Zhao Hongbo on Saturday told Xinhua that the team has been training continuously since March despite it being canceled in the first half of the season due to the pandemic.,主教练赵洪波周六告诉新华社，尽管在赛季前半段被取消，但球队自3月以来一直在持续训练。,主教练赵洪波周六告诉新华社，尽管由于大流行而在赛季前半段被取消，但球队自3月以来一直在持续训练。,0,,
"He will have down times, he will have the odd disaster, but my god, the highs more than make up for it because when he is on.","He will have down times, he will have the odd disaster, but my god, the highs more than make up for it because when he is on, he's different again.",他会有低迷的时候，他会有奇怪的灾难，但我的上帝，高潮足以弥补它，因为当他上场时。,他会有低迷的时候，他会有奇怪的灾难，但我的上帝，高潮足以弥补它，因为当他上场时，他又不一样了。,0,,
Europe's fur industry is back in the spotlight after Denmark's mass culling of millions of mink.,Europe's fur industry is back in the spotlight after Denmark's mass culling of millions of mink and an outbreak of coronavirus at farms in the country.,在丹麦大规模扑杀数百万只水貂后，欧洲的毛皮行业再次成为人们关注的焦点。,在丹麦大规模扑杀数百万只水貂并在该国农场爆发冠状病毒之后，欧洲的毛皮行业再次成为人们关注的焦点。,0,,
"Due to the development of English education for preschool children, Guo believes that the number of subscribers to their English magazines will rise significantly.","Due to the development of English education for preschool children, Guo believes that the number of subscribers to their English magazines will rise significantly in the coming three decades.",由于学龄前儿童英语教育的发展，郭认为他们的英语杂志的订阅者数量将大幅增加。,由于学龄前儿童英语教育的发展，郭认为，未来三十年，他们的英语杂志的订阅者数量将大幅增加。,0,,
"China is a country that is in most jeopardy from invasive alien species-ones that are introduced, accidentally or intentionally, outside of their natural native range.","China is a country that is in most jeopardy from invasive alien species-ones that are introduced, accidentally or intentionally, outside of their natural native range and which become problematic.",中国是一个受到外来入侵物种危害最大的国家，这些物种是在其自然原生范围之外意外或故意引入的。,中国是一个受到外来入侵物种危害最大的国家，这些外来物种是有意或无意地在其自然原生范围之外引入的，并且成为问题。,0,,
"With the tournament currently set to begin on January 18, that would leave players very little time.","With the tournament currently set to begin on January 18, that would leave players very little time after being confined to a hotel room for two weeks.",由于比赛目前定于1月18日开始，球员们的时间将很少。,由于比赛目前定于1月18日开始，球员们在被限制在酒店房间两周后几乎没有时间。,0,,
