S_s,S_f,T_s,T_f,Limitation-A,Limitation-text
"We have staff who have moved out to live elsewhere in order to protect relatives at home , staff who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.","We have staff who have moved out to live elsewhere in order to protect relatives at home , people who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.",我们有工作人员为了保护家里的亲人而搬到别处居住，有取消假期的工作人员，他们因为致力于在这里工作而看不到亲人，他们看到了紧迫性。,我们有工作人员为了保护家里的亲戚而搬到其他地方居住，有些人取消了假期，他们看不到亲人，因为他们致力于在这里工作，他们看到了紧迫性。,True,True
"Seventy percent of the late sleepers said they could sleep seven hours a day , and only 8 percent said they suffered from severe sleep deprivation , with average sleep of five hours or less.","Ninety percent of the late sleepers said they could sleep seven hours a day , and only 8 percent said they suffered from severe sleep deprivation , with average sleep of five hours or less.",百分之七十的晚睡者说他们每天可以睡七个小时，只有8%的人说他们患有严重的睡眠剥夺，平均睡眠时间为五个小时或更少。,百分之九十的晚睡者说他们每天可以睡七个小时，只有8%的人说他们患有严重的睡眠剥夺，平均睡眠时间为五小时或更短。,,True
Airbnb is offering a lot of people talking about the environment a chance to participate in scientific research on how to help preserve it during an all - expense paid trip to Antarctica.,Airbnb is offering a lot of people talking about the environment the chance to participate in scientific research on how to help preserve it during an all - expense paid trip to Antarctica.,Airbnb为许多谈论环境的人提供了一个参与科学研究的机会，了解如何在南极洲的所有费用旅行中帮助保护它。,Airbnb为许多谈论环境的人提供了参与科学研究的机会，了解如何在南极洲全费旅行期间帮助保护环境。,,True
"The concerns of state health officials were perhaps most evident in Nevada , where in early October the state banned antigen testing in nursing homes.","The concerns of state health officials were perhaps most evident in Nevada , where in late October the state banned antigen testing in nursing homes.",州卫生官员的担忧在内华达州最为明显，该州在十月初禁止在疗养院进行抗原检测。,州卫生官员的担忧在内华达州最为明显，该州在10月下旬禁止在养老院进行抗原检测。,,True
One theory has held that the moon was formed around 4 billion years ago when a planet roughly the size of mars slammed into the Earth.,One hypothesis has held that the moon was formed around 4 billion years ago when a planet roughly the size of mars slammed into the Earth.,一种理论认为，月球是在大约40亿年前形成的，当时一颗与火星大小相当的行星撞向地球。,一种假设认为，月球是在大约40亿年前形成的，当时一颗大约与火星大小的行星撞击地球。,True,True
"Despite the impact of the coronavirus pandemic , hilton has gradually restored and further developed its business at a steady pace in 2020.","With the impact of the coronavirus pandemic , hilton has gradually restored and further developed its business at a steady pace in 2020.",尽管受到冠状病毒大流行的影响，希尔顿在2020年仍以稳健的速度逐步恢复并进一步发展其业务。,在冠状病毒大流行的影响下，希尔顿在2020年逐步恢复并进一步发展其业务，步伐稳步发展。,True,True
"But there is one Woods landmark McIlroy can emulate at the Masters , which was open until November because of the coronavirus pandemic.","But this is one Woods landmark McIlroy can emulate at the Masters , which was open until November because of the coronavirus pandemic.",但是有一个伍兹里程碑麦克罗伊可以在大师赛上效仿，由于冠状病毒大流行，大师赛一直开放到11月。,但这是伍兹的里程碑式麦克罗伊可以在大师赛上效仿的一个，由于冠状病毒大流行，大师赛一直开放到11月。,True,
"Young men always seem to feel that they must do something to defend their hairline , or to resist the fine lines that pop up around the corners of their eyes.","Young women always seem to feel that they must do something to defend their hairline , or to resist the fine lines that pop up around the corners of their eyes.",年轻人似乎总觉得他们必须做点什么来捍卫自己的发际线，或者抵抗眼角弹出的细纹。,年轻女性似乎总是觉得她们必须做点什么来捍卫自己的发际线，或者抵制眼角弹出的细纹。,,True
The German manager has been heavily critical of the congested fixture list this season and has repeatedly called for teams to be able to use five substitutions in a match in order to prevent more injuries.,The German manager has been highly critical of the congested fixture list this season and has repeatedly called for teams to be able to use five substitutions in a match in order to prevent more injuries.,这位德国主帅本赛季一直严厉批评拥挤的赛程名单，并一再呼吁球队能够在一场比赛中使用五个换人，以防止更多的伤病。,这位德国主教练对本赛季拥挤的赛程清单持高度批评态度，并一再呼吁球队能够在一场比赛中使用五个换人，以防止更多的伤病。,True,True
The developers are applying for regulatory approval after trial results showed it protected 70 % of people.,The developers are applying for regulatory approval after trial results showed it protected 80 % of people.,开发商正在申请监管批准，因为试验结果显示它保护了70%的人。,开发商正在申请监管批准，因为试验结果表明它保护了80%的人。,,True
All scenic spots in Gansu ' s Gannan yi autonomous prefecture also offered free admission to visitors during the festival.,Many scenic spots in Gansu ' s Gannan yi autonomous prefecture also offered free admission to visitors during the festival.,甘肃甘南彝族自治州的所有景区也在节日期间向游客免费开放。,甘肃甘南彝族自治州的许多景点也在节日期间向游客提供免费入场。,,True
"A draft report concluded in the summer that Home Secretary Priti Patel had broken rules on ministers ' behaviour , sources familiar with the contents say.","The draft report concluded in the summer that Home Secretary Priti Patel had broken rules on ministers ' behaviour , sources familiar with the contents say.",一份报告草案在夏天得出结论，内政大臣普里蒂·帕特尔违反了部长行为的规定，知情人士称。,消息人士称，报告草案在夏天得出结论，内政大臣普里蒂·帕特尔违反了部长们的行为规则。,True,True
"The Antarctic Sabbatical , as the travel company is dubbing it , will give five people the opportunity to see how widely micro plastics have infiltrated the region.","The Antarctic Sabbatical , as the travel company is dubbing it , will give five people an opportunity to see how widely micro plastics have infiltrated the region.",南极休假，正如旅游公司所称的那样，将让五个人有机会看到微塑料渗透到该地区的广泛程度。,旅游公司称之为南极休假，将给五个人一个机会，看看微塑料在该地区渗透的范围有多广。,True,True
People in the green area cannot conduct any close contact with those having credentials in other colors.,People in the green area cannot conduct any close contact with those with credentials in other colors.,绿色区域的人不能与拥有其他颜色证书的人进行任何密切接触。,绿色区域的人不能与持有其他颜色证件的人进行任何密切接触。,,True
"Over the period , the account picked up followers including what appeared to be older men.","Over that period , the account picked up followers including what appeared to be older men.",在此期间，该账户吸引了追随者，包括似乎是年长的男性。,在那段时间里，该账户吸引了追随者，包括那些看起来是年长的男人。,,True
Your wedding is one of the most important days.,Your birthday is one of the most important days.,您的婚礼是最重要的日子之一。,你的生日是最重要的日子之一。,,True
The best thing about this fun film is you don ' t have to be a comic book geek to do it.,The great thing about this fun film is you don ' t have to be a comic book geek to do it.,这部有趣的电影最好的一点是，你不必成为漫画书极客就可以做到这一点。,这部有趣的电影的伟大之处在于你不必成为漫画书极客就可以做到这一点。,,True
"The home appliances and the book , audio and video industries grabbed the second and third positions on the list.","The household appliances and the book , audio and video industries grabbed the second and third positions on the list.",家电和图书、音视频行业分列榜单第二、第三位。,家用电器和图书、音视频行业分别位居榜单第二和第三位。,,True
