S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.","Oliver james made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.",奥利弗·西顿在与已经从事该行业的朋友和家人一起从事教学工作后，在 3 月份失业后，通过慈善机构 Now Teach 转向教学。,奥利弗·詹姆斯在与已经从事该行业的朋友和家人一起工作后，在 3 月份失业后，通过慈善机构 Now Teach 开始从事教学工作。,1,转向,开始从事
"We have staff who have moved out to live elsewhere in order to protect relatives at home , staff who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.","We have children who have moved out to live elsewhere in order to protect relatives at home, staff who have cancelled holidays, who aren' t seeing their loved ones because they' re dedicated to working here and they see the urgency.",我们有员工为了保护家里的亲人而搬到别处居住，有的员工取消了假期，有的员工看不到他们的亲人，因为他们致力于在这里工作，他们看到了紧迫性。,我们有为了保护家里的亲人而搬到别处居住的孩子，有取消假期的工作人员，有因为致力于在这里工作而看不到亲人的工作人员，他们看到了紧迫性。,0,,
"Perez can be anonymous some weekends , but then he can produce these fine drives that come out of nowhere , to be best of the rest or even snatch a podium , which he has done so many times in midfield machinery.","Perez can be anonymous some way, but then he can produce these fine drives that come out of nowhere, to be best of the rest or even snatch a podium, which he has done so many times in midfield machinery.",佩雷斯在某些周末可能是匿名的，但随后他可以产生这些不知从何而来的出色驱动，成为其他人中最好的，甚至抢夺领奖台，他在中场机器中已经做过很多次。,佩雷斯可以以某种方式匿名，但随后他可以产生这些无处不在的出色驱动，成为其他人中最好的，甚至抢夺领奖台，他在中场机器中已经做过很多次。,1,不知从何而来的,无处不在的
"New Zealand ' s election will hardly change the main course of the country ' s history with China despite some challenging moments during the year , analysts said ahead of the poll on Saturday.","New china' s election will hardly change the main course of the country' s history with China despite some challenging moments during the year, analysts said ahead of the poll on Saturday.",分析人士在周六的投票前表示，尽管新西兰在这一年中遇到了一些具有挑战性的时刻，但新西兰的大选几乎不会改变该国与中国的主要历史进程。,"分析人士在星期六投票前表示, 尽管今年有一些具有挑战性的时刻, 但新中国的选举几乎不会改变该国与中国的主要历史进程。",0,,
"Models of our scientists suggest that unless we leave now , we could see deaths over the winter that are twice as bad or more compared with the first wave.","Models of our members suggest that unless we leave now, we could see deaths over the winter that are twice as bad or more compared with the first wave.",我们科学家的模型表明，除非我们现在离开，否则与第一波相比，我们可能会看到冬季的死亡人数是第一波的两倍或更多。,我们成员的模型表明，除非我们现在离开，否则与第一波相比，我们可能会看到冬季的死亡人数是第一波的两倍或更多。,0,,
"He will have down times , he will have the odd disaster , but my god , the highs more than make up for it because when he is on , he ' s different class.","He will have down syndrome, he will have the odd disaster, but my god, the highs more than make up for it because when he is on, he' s different class.",他会有低谷的时候，他会有奇怪的灾难，但我的上帝，高潮足以弥补它，因为当他上场时，他是不同的阶层。,他会有唐氏综合症，他会有奇怪的灾难，但我的上帝，高潮足以弥补它，因为当他在场时，他是不同阶层的人。,1,低谷,唐氏
"Due to the popularization of English education for the children , Guo believes that the number of subscribers to their English magazines will rise significantly in the coming three years.","Due to the end of English education for the children, Guo believes that the number of subscribers to their English magazines will rise significantly in the coming three years.",由于少儿英语教育的普及，郭认为，未来三年，他们英语杂志的订阅人数将大幅增加。,由于孩子们的英语教育已经结束，郭认为，未来三年，他们英语杂志的订阅人数将大幅增加。,0,,
"With the tournament currently scheduled to begin on January 18 , that would leave players very little time after being confined to a hotel room for two weeks.","With the season currently scheduled to begin on January 18, that would leave players very little time after being confined to a hotel room for two weeks.",由于比赛目前定于 1 月 18 日开始，因此在被限制在酒店房间两周后，球员们的时间所剩无几。,由于本赛季目前定于 1 月 18 日开始，球员们在被限制在酒店房间两周后，剩下的时间所剩无几。,0,,
We are very committed to operating in that way and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,We are very committed to operating in that area and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,我们非常致力于以这种方式运营，当然这是我们对游客的优势之一，我们正在尽一切努力使旅游业安全可靠。,我们非常致力于在该地区开展业务，当然这是我们对游客的优势之一，我们正在尽一切努力使旅游业安全可靠。,0,,
"The major barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests , coupled with concerns about their accuracy.","The other barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests, coupled with concerns about their accuracy.",使用快速测试的主要障碍似乎是缺乏关于何时以及如何使用测试的指导，以及对其准确性的担忧。,使用快速测试的其他障碍似乎是缺乏关于何时以及如何使用测试的指导，以及对其准确性的担忧。,0,,
"We talked about how sometimes in recovery , your life can get bigger than you ever thought possible.","We talked about how sometimes in life, your life can get bigger than you ever thought possible.",我们谈到有时在康复过程中，您的生活会变得比您想象的更广阔。,我们谈到在生活中有时，您的生活会变得比您想象的更广阔。,0,,
We have always been clear that we keep these measures under constant review so they do not have to be in place for any longer than is necessary.,We have always been aware that we keep these measures under constant review so they do not have to be in place for any longer than is necessary.,我们一直很清楚，我们会不断审查这些措施，因此它们的实施时间不会超过必要的时间。,我们一直都知道，我们会不断审查这些措施，因此它们的实施时间不会超过必要的时间。,0,,
There were times I could just hear the echo of my footsteps out there because I was running completely alone.,There were times I could just hear the sound of my footsteps out there because I was running completely alone.,有时我只能听到我脚步声的回声，因为我完全是一个人在跑。,有时我只能听到我的脚步声，因为我完全是一个人在跑。,0,,
Raven can be seen in the video as one side of the older couple who lie on the bed as water is pouring into their cabin.,Raven can be seen in the movie as one side of the older couple who lie on the bed as water is pouring into their cabin.,在视频中可以看到乌鸦是躺在床上的老夫妇的一侧，因为水正涌入他们的小屋。,在电影中可以看到乌鸦是老夫妇的一侧，他们躺在床上，水正涌进他们的小屋。,1,因为,
