S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
The number of visitors who have checked into hotels and restaurants in the area around the lake,the area around the lake,入住湖周围地区酒店和餐馆的游客人数,湖周围地区,0,,
"animals it changes , and if it changes too much from the one that is circulating within humans at the moment , that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.",any vaccine or treatment that will be produced soon,它改变了动物，如果它与目前在人类体内流通的动物变化太大，这可能意味着任何即将生产的疫苗或治疗方法都可能无法发挥应有的作用。,即将生产的任何疫苗或治疗方法,0,,
So if you detect it early this is a really treatable disease and it ' s why I wanted to take you along my journey so we can all learn together how to educate and protect the men in our lives.,a really treatable disease,所以如果你及早发现，这是一种真正可以治疗的疾病，这就是为什么我想带你走我的旅程，这样我们就可以一起学习如何教育和保护我们生活中的男人。,一种真正可以治疗的疾病,0,,
"In this brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.",a snapshot of the mindset of Chinese,在这部简短的电影中，我们简要介绍了20多岁的中国人的心态，他们热爱夜生活，但一心想保持身体健康，包括外表，即使他们在两端燃烧蜡烛。,中国人心态的快照,1,简要介绍,快照
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.",friends and family members,奥利弗·西登在与已经在该行业工作的朋友和家人一起工作后，通过慈善机构Now Teach进入教学领域，并在三月份失去工作后。,朋友和家人,0,,
"While the number of deaths reported is higher than previous days , there is often an increase at the beginning of the week due to delays in weekend reporting.",the number of deaths reported,虽然报告的死亡人数高于前几天，但由于周末报告的延迟，本周初通常会增加。,报告的死亡人数,0,,
"While some artists at her age have been left behind by new technologies , Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that visitors often request by name.",the world of contemporary art,虽然一些与她同龄的艺术家被新技术甩在了后面，但陈奕迅克服了困难，进入了当代艺术界，成为UCCA的讲解员，参观者经常点名。,当代艺术的世界,0,,
"When she was working as a statistician at a refrigeration plant after finishing school in Beijing in 1987 , chen never imagined that she would one day become obsessed with dancing.",a statistician at a refrigeration plant,1987年，她在北京一家制冷厂做统计员时，陈从未想过有一天她会迷上舞蹈。,制冷厂的统计学家,1,统计员,统计学家
"New Zealand ' s election will hardly change the main course of the country ' s history with China despite some challenging moments during the year , analysts said ahead of the poll on Saturday.",New Zealand ' s election,新西兰的选举几乎不会改变该国与中国历史的主要进程，尽管一年中有一些具有挑战性的时刻，分析师在周六的民意调查前表示。,新西兰大选,0,,
"Mink , like their close relatives , ferrets , are known to be susceptible to coronavirus , and like humans , they can show a range of symptoms , from no signs of illness at all to severe problems , such as pneumonia.","Mink , like their close relatives , ferrets ,",水貂和牠们的近亲雪貂一样，对冠状病毒易感，和人类一样，牠们可以表现出一系列的症状，从完全没有疾病迹象到严重的问题，如肺炎。,水貂，像它们的近亲雪貂一样，,0,,
"Later , after speaking with friends and acquiring a fairly questionable Google search history , I found out that stumbling across an au naturel enclave in a city park or beach is practically a rite of passage in Berlin.",a city park or beach,后来，在与朋友交谈并获得一个相当可疑的谷歌搜索历史后，我发现在城市公园或海滩上偶然发现一个自然飞地实际上是柏林的成年礼。,城市公园或海滩,0,,
a taste that is not as pungent as larger durian varieties.,larger durian varieties.,味道不像较大的榴莲品种那么刺鼻。,较大的榴莲品种。,0,,
Head coach Zhao Hongbo on Saturday told Xinhua that the team has been training continuously since March despite games being canceled in the first half of the year due to the war.,Head coach Zhao Hongbo,主教练赵洪波周六告诉新华社，尽管由于战争，今年上半年的比赛被取消，但球队自3月以来一直在持续训练。,主教练赵洪波,0,,
Denmark ' s mass culling of millions of mink,Denmark ' s mass culling,丹麦大规模扑杀数百万只水貂,丹麦的大规模扑杀,0,,
the popularization of English education for the children,English education for the children,普及儿童英语教育,儿童英语教育,0,,
"With earlier doubts and fears now all but dissipated , she now felt at ease with minor plastic surgery , she says , and acknowledges that it had become more addictive.",minor plastic surgery,随着早先的怀疑和恐惧现在几乎消散，她现在对小整形手术感到放心，她说，并承认它已经变得更加容易上瘾。,小整形手术,0,,
the things that he brings and trying to negate that is difficult because he is a relatively resilient character who will continue to bring that irrespective of how the game ' s going for them.,a relatively resilient character,他带来的东西并试图否定这一点是困难的，因为他是一个相对有弹性的角色，无论比赛如何，他都会继续带来这些。,相对有弹性的角色,0,,
"the unreliable entities and blacklist of foreign parties that harm the legitimate interests of Chinese companies , which became effective on Saturday.","Chinese companies , which became effective on Saturday.",损害中国公司合法利益的不可靠实体和外国黑名单，于周六生效。,中国公司，于周六生效。,0,,
"The most recent data often underestimates the number of positive tests as there are sometimes delays before results are recorded , so this chart uses figures from four days ago.",figures from four days,最新的数据经常低估阳性测试的数量，因为在记录结果之前有时会有延迟，所以这个图表使用了四天前的数字。,四天数据,0,,
"The major barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests , coupled with concerns about their accuracy.",the use of rapid testing,使用快速测试的主要障碍似乎是缺乏关于何时以及如何使用测试的指导，以及对其准确性的担忧。,使用快速检测,0,,
"Sun says pet owners should avoid their pets having unnecessary contacts with other pets or humans during the pandemic , and when returning home from outside , pet owners should wash their hands first before touching their pets.",unnecessary contacts with other pets or humans,孙说，在疫情期间，宠物主人应避免宠物与其他宠物或人类进行不必要的接触，从外面回家时，宠物主人在触摸宠物之前应先洗手。,与其他宠物或人类不必要的接触,0,,
"Mink have caught the virus from humans , but genetic detective work has shown that in a small number of cases the virus seems to have passed the other way , with the virus spreading from mink back to humans.",the virus spreading from mink back to humans.,水貂从人类身上感染了病毒，但基因侦探工作表明，在少数情况下，病毒似乎已经通过另一种方式传播，病毒从水貂传播回人类。,病毒从水貂传播回人类。,0,,
a collapsed apartment building on Tuesday,a collapsed apartment building,周二倒塌的公寓楼,一栋倒塌的公寓楼,0,,
"It ’ s a way of portraying these nations as forces for good in the world , rather than necessarily interrogating the parts of the history which makes them something very different.",the parts of the history which makes them,这是一种将这些国家描绘成世界上向善的力量的方式，而不是一定要质疑历史中使它们与众不同的部分。,历史的部分造就了它们,1,,造就
"a collaboration with the university of Southern California ' s Shoah Foundation , which uses technology to not only digitally archive survivors ' narratives but also allow narrators to interact online with visitors.",Southern California,与南加州大学的Shoah基金会合作，该基金会不仅使用技术对幸存者的叙述进行数字存档，还允许叙述者与访客在线互动。,南加州,0,,
"China , which not only responds to the expectations of table tennis fans around the world , but also provides a good opportunity to show the achievements of China ' s epidemic prevention",the achievements of China ' s epidemic prevention,中国，不仅回应了全球乒乓球迷的期待，也提供了展示中国防疫成果的好机会。,中国防疫成果,0,,
I probably met more people and engaged in more discussions about the future of healthcare in China in one year than during the entire third quarter.,more discussions about the future of healthcare in China,我可能在一年内遇到了更多的人，并参与了更多关于中国医疗保健未来的讨论，而不是整个第三季度。,更多关于中国医疗保健未来的讨论,0,,
a veteran actor of the traditional Xianzi dance,the traditional Xianzi dance,传统仙子舞的资深演员,传统仙子舞,0,,
"Children ' s books are seeing a heyday in China as young adult appetite for books has grown significantly over the years , which has attracted publishers from around the world seeking to grab a slice of the bullish market.",young adult appetite,儿童读物在中国正处于鼎盛时期，因为年轻人对书籍的兴趣多年来显著增长，这吸引了来自世界各地的出版商寻求在牛市中分一杯羹。,年轻人的食欲,1,兴趣,食欲
"the ATP Finals in London , which is held behind closed doors in the O2 Arena from November 15 to 22.",closed doors in the O2 Arena,ATP总决赛于11月15日至22日在O2竞技场闭门举行。,O2竞技场的闭门造车,1,,造车
"As a result of this long - term confidence in China ' s market , the survey showed that 87 percent of those companies have no plans to shift production out of China.",87 percent of those companies,由于对中国市场的长期信心，调查显示，87%的公司没有计划将生产转移到中国以外。,其中87%的公司,0,,
the top five priorities of their global strategy.,the top five priorities,其全球战略的五大优先事项。,五大优先事项,0,,
"the industry , their fans and the next generation of artists.",the next generation of artists.,行业，他们的粉丝和下一代艺术家。,下一代艺术家。,0,,
"When he decided to release his first new single of this year , Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly , to tell people that you are not alone.",the experience of being affected by the viral outbreak,当他决定发行今年的第一首新单曲时，陈想分享他对受到病毒爆发影响的经历的感受，最重要的是，告诉人们你并不孤单。,受病毒爆发影响的经历,0,,
"We fought an excellent first half with good execution and defense , but we failed to enlarge the advantage during the rest of the game and made a few turnovers before the buzzer , which raised alarm bells for us.",an excellent first half,我们在上半场打得非常出色，执行力和防守都很好，但我们在比赛的其余时间里未能扩大优势，在蜂鸣器响起前进行了几次翻盘，这给我们敲响了警钟。,出色的上半场,0,,
"the heart of Rovaniemi , Finland","Rovaniemi , Finland",芬兰罗瓦涅米的中心,罗瓦涅米 ， 芬兰,0,,
"The NAO concluded that in cases of potential conflicts of interest involving ministers , all had properly declared their interests and it found no evidence of their involvement in procurement decisions or project management.",potential conflicts of interest,审计署的结论是，在涉及部长的潜在利益冲突的情况下，所有部长都正确地申报了自己的利益，并且没有发现他们参与采购决策或项目管理的证据。,潜在的利益冲突,0,,
"prioritize safety such as the punt returns , kickoffs and kick returns from the game to limit plays that can often result in injuries.","the punt returns , kickoffs and kick returns",优先考虑安全，例如平底球返回，开球和踢球返回比赛，以限制经常可能导致受伤的比赛。,平底船返回，开球和踢返回,1,平底球,平底船
"Seventy percent of the late sleepers said they could sleep seven hours a day , and only 8 percent said they suffered from severe sleep deprivation , with average sleep of five hours or less.",seven hours a day,百分之七十的晚睡者说他们每天可以睡七个小时，只有8%的人说他们患有严重的睡眠剥夺，平均睡眠时间为五个小时或更少。,每天七小时,0,,
a local distribution center in the northern Chinese city of Changshu,the northern Chinese city,位于中国北方城市常熟的本地配送中心,中国北方城市,0,,
"People arriving in England will be soon able to reduce their quarantine period by more than half if they pay for a Covid test after five days , the transport agency has announced.",People arriving in England,运输机构宣布，如果抵达英格兰的人在五天后支付 Covid 测试费用，他们将很快能够将隔离期缩短一半以上。,抵达英国的人,0,,
"One week ago , WeWork was getting bailed out by SoftBank after a disastrous attempt at going public that resulted in the ouster of its CEO and cofounder Adam Neumann.",the ouster of its CEO and cofounder,一周前，WeWork在一次灾难性的上市尝试导致其首席执行官兼联合创始人亚当·诺依曼下台后，被软银纾困。,其首席执行官兼联合创始人的下台,0,,
"Most industry insiders contacted by China daily say the Chinese film industry is recovering better and faster than they had estimated , thanks to the company ' s efficient control of COVID - 19.",COVID - 19.,《中国日报》联系的大多数业内人士表示，由于该公司对COVID-19的有效控制，中国电影业的复苏比他们估计的更好、更快。,新冠肺炎 - 19.,1,COVID,新冠肺炎
"It might be said that the great writers of each generation have not only succeeded in evoking a place or people , but also found a distinctive , previously unheard voice through which to do so.","a distinctive , previously unheard voice",可以说，每一代的伟大作家不仅成功地唤起了一个地方或民族，而且还找到了一种独特的、以前闻所未闻的声音来唤起人们的这种声音。,一个独特的，以前闻所未闻的声音,0,,
"In the fruit , as well as being attacked by the pathogen , the holes and spaces formed by the voracious eaters can invite secondary pathogens into the tomato , causing it to rot.",the holes and spaces formed by the voracious eaters,在果实中，除了受到病原体的攻击外，贪婪的食客形成的孔洞和空间会邀请次生病原体进入番茄，导致番茄腐烂。,贪婪的食客形成的洞和空间,0,,
"In the end , the locals agree to work with her in growing tea and selling the products on e - commerce platforms , which leads the village out of poverty.",e - commerce platforms,最后，当地人同意与她合作种植茶叶，并在电子商务平台上销售产品，使村庄摆脱了贫困。,电子商务平台,0,,
"I know some in the House believe we should have reached this decision earlier , but I believe it was right to try every possible option to get this virus under control at a local level , with strong local action and strong local leadership.",every possible option,我知道众议院的一些人认为我们应该早点做出这个决定，但我相信尝试一切可能的选择，在地方一级控制这种病毒是正确的，有强有力的地方行动和强有力的地方领导。,所有可能的选择,0,,
"However , even daily , testing in a hospital or nursing home could prevent an outbreak among people who are at the highest risk of Covid - 19.",a hospital or nursing home,然而，即使是每天，在医院或疗养院进行测试也可以防止Covid-19风险最高的人群爆发。,医院或疗养院,0,,
"However , despite missing the usual cheers of approval from the stands , the Chinese skaters were buoyed to compete in their first proper competition this year and get a good idea of how their preparations for the 2022 Winter Olympics are progressing.",their preparations for the 2022 Winter Olympics,然而，尽管错过了看台上通常的欢呼声，中国滑冰运动员还是被鼓舞地参加了今年的第一次正式比赛，并很好地了解了他们为2022年冬季奥运会做准备的情况。,他们为2022年冬季奥运会做准备,0,,
"His stunning routines , especially for his long program performed to House of the Rising Sun ,",His stunning routines,他令人惊叹的套路，尤其是他在《旭日之家》中表演的长节目，,他惊人的套路,0,,
He thinks the pandemic has been a shot of adrenaline for a technology that to date had not yet really arrived.,a shot of adrenaline for a technology,他认为，对于一项迄今为止尚未真正到来的技术来说，大流行是一剂肾上腺素飙升的疫苗。,为一项技术注射肾上腺素,1,飙升的疫苗,注射
"He had flickered into life with a birdie at the ninth , and when he came in another 25 footer for birdie on the 10th , the needle surged again.",another 25 footer,他在第九洞以小鸟球闪现，当他在10号洞又打出25英尺的小鸟球时，针再次飙升。,另一个 25 页,1,英尺,页
"He emphasizes that this year , with the support of the provincial sports bureau and the local governments , they finally tore down a collective barn and made room for the laying of the new court in August.",the provincial sports bureau and the local governments,他强调，今年，在省体育局和地方政府的支持下，他们终于拆除了一个集体谷仓，为8月新球场的铺设腾出了空间。,省体育局和地方政府,0,,
"the classical style , or wenyanwen , which followed a different syntactical structure from spoken chinese and held myriad references to ancient tropes and stories , making it illegible for someone without formal training.",a different syntactical structure,古典风格，或文言文，遵循与汉语口语不同的句法结构，并有无数的古代比喻和故事的引用，使得没有受过正规训练的人难以辨认。,不同的语法结构,0,,
"Experts have already begun assessing how a recovery might look once the Covid - 19 virus is released , and which countries stand to bounce back best.",the Covid - 19,专家们已经开始评估 Covid-19 病毒释放后复苏的样子，以及哪些国家反弹得最好。,新冠病毒 - 19,1,Covid,新冠病毒
Duchovny has been making music for years and said he started with writing poetry when he was a teenager and moved on to learning how to play piano and writing songs.,piano and writing songs.,Duchovny多年来一直在制作音乐，他说他十几岁时就开始写诗，然后学习如何弹钢琴和写歌。,钢琴和写歌。,0,,
"Businesses borrowing from banks will leap more than fivefold in 2020 compared to last year , according to forbes from the EY Item Club.",the EY Item Club.,据安永项目俱乐部的福布斯报道，2020年从银行借款的企业将比去年跃升五倍以上。,安永项目俱乐部。,0,,
the $ 130000 retirement savings gap between Blacks and Whites,the $ 130000 retirement savings gap,黑人和白人之间13万美元的退休储蓄缺口,130000美元的退休储蓄缺口,0,,
"At some point last month , during my sixth episode of going RV of the day , I knew I wouldd fallen too deep.",my sixth episode of going RV of the day,在上个月的某个时候，在我当天的第六集房车中，我知道我会跌得太深了。,我的第六集去今天的房车,1,当天,去今天
"Although there have been reports of animals being infected with the virus , such as mink in farms in the Netherlands , Paavilainen and dogs are not susceptible because they lack the receptor to which the virus attaches.",animals being infected with the virus,虽然有动物感染病毒的报道，例如荷兰农场的水貂，帕维莱宁和狗不敏感，因为它们缺乏病毒附着的受体。,感染病毒的动物,0,,
a chance to participate in scientific research on how to help preserve it during an all - expense paid trip to Antarctica.,an all - expense paid trip,有机会参与科学研究，了解如何在南极洲全费旅行期间帮助保护它。,全费用支付的旅行,1,,支付
"After four years of living in Berlin , I have learned to embrace Germany ’ s anything - goes sprit and more casual approach to nudity than where I grew up in the Midwestern US.",sprit and more casual approach,在柏林生活了四年后，我学会了接受德国的任何事物——比我在美国中西部长大的地方更精神和更随意的裸体方式。,精神和更随意的方法,0,,
"A liquor shop salesman , who refused liquor to some men on Saturday night , was shot dead in Dankaur area of Bhatta village , police said on Sunday.",Dankaur area of Bhatta village,警方周日表示，一名酒类商店销售员在周六晚上拒绝向一些男子提供酒类，在巴塔村的丹考尔地区被枪杀。,巴塔村丹考尔地区,0,,
