S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
The number of visitors who have checked into hotels and restaurants in the area around the lake has also grown significantly since then as compared with the first days of the COVID - 19 pandemic.,The number of visitors who have checked into hotels and restaurants in the area around the lake have also grown significantly since then as compared with the first days of the COVID - 19 pandemic.,自那时以来，与 COVID-19 大流行的最初几天相比，入住湖区酒店和餐馆的游客人数也显着增加。,自那时以来，与 COVID-19 大流行的最初几天相比，入住湖区酒店和餐馆的游客人数也显着增加。,0,,
"Every time the virus spreads between animals it changes , and if it changes too much from the one that is circulating within humans at the moment , that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.","Each time the virus spreads between animals it changes , and if it changes too much from the one that is circulating within humans at the moment , that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.",每次病毒在动物之间传播时，它都会发生变化，如果它与目前在人体内传播的病毒变化太大，那可能意味着即将生产的任何疫苗或治疗方法可能无法发挥应有的作用。 .,每次病毒在动物之间传播时它都会发生变化，如果它与目前在人体内传播的病毒发生太大变化，这可能意味着即将生产的任何疫苗或治疗方法可能无法发挥应有的作用。 .,0,,
So if you detect it early this is a really treatable disease and it ' s why I wanted to take you along my journey so we can all learn together how to educate and protect the men in our lives.,So when you detect it early this is a really treatable disease and it ' s why I wanted to take you along my journey so we can all learn together how to educate and protect the men in our lives.,所以如果你及早发现它，这是一种真正可以治疗的疾病，这就是为什么我想带你一起去我的旅程，这样我们就可以一起学习如何教育和保护我们生活中的男人。,所以当你及早发现它时，这是一种真正可以治疗的疾病，这就是为什么我想带你一起去我的旅程，这样我们就可以一起学习如何教育和保护我们生活中的男人。,0,,
"In this brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.","In the brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.",在这部简短的影片中，我们简要了解了 20 多岁的中国人的心态，他们热爱夜生活，但一心要保持身体健康，包括外表，即使他们两头烧蜡烛。,在这部短片中，我们看到了 20 多岁的中国人的心态快照，他们热爱夜生活，但一心要保持身体健康，包括外表，即使他们两头烧蜡烛。,1,简要了解,快照
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.","Oliver Condon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.",奥利弗·西顿在与已经从事该行业的朋友和家人一起从事教学工作后，在 3 月份失业后，通过慈善机构 Now Teach 转向教学。,奥利弗·康登在与已经从事该行业的朋友和家人一起从事教学工作后，在 3 月份失业后，通过慈善机构 Now Teach 开始从事教学工作。,1,转向,从事
"While the number of deaths reported is higher than previous days , there is often an increase at the beginning of the week due to delays in weekend reporting.","Although the number of deaths reported is higher than previous days , there is often an increase at the beginning of the week due to delays in weekend reporting.",虽然报告的死亡人数高于前几天，但由于周末报告的延迟，往往会在本周初有所增加。,尽管报告的死亡人数高于前几天，但由于周末报告的延迟，在本周初往往会有所增加。,0,,
"While some artists at her age have been left behind by new technologies , Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that visitors often request by name.","Though some artists at her age have been left behind by new technologies , Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that visitors often request by name.",虽然她这个年纪的一些艺术家已经被新技术抛在了后面，但陈却克服了困难进入了当代艺术世界，并成为了参观者经常点名要求的 UCCA 的一名导览员。,尽管在她这个年纪的一些艺术家已经被新技术甩在了后面，但陈还是克服了困难进入了当代艺术的世界，并成为了参观者经常点名要求的 UCCA 的解说员。,0,,
"When she was working as a statistician at a refrigeration plant after finishing school in Beijing in 1987 , chen never imagined that she would one day become obsessed with dancing.","When she was working as a statistician at a refrigeration plant after finishing school in Beijing in 1987 , chen never imagined that she might one day become obsessed with dancing.",1987年在北京完成学业后在一家制冷厂做统计员时，陈从未想过自己有一天会迷上舞蹈。,1987年在北京完成学业后在一家制冷厂做统计员时，陈从未想过自己有一天会迷上舞蹈。,0,,
"We have staff who have moved out to live elsewhere in order to protect relatives at home , staff who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.","We have staff who have moved out to live elsewhere in order to protect relatives at home , people who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.",我们有员工为了保护家里的亲人而搬到别处居住，有的员工取消了假期，有的员工看不到他们的亲人，因为他们致力于在这里工作，他们看到了紧迫性。,我们有工作人员为了保护家里的亲人而搬到别处居住，有的人取消了假期，有的人因为专心致志在这里工作而看不到亲人，他们看到了紧迫感。,0,,
"Success will depend on reassuring consumers that they can afford these new technologies , that they will deliver their own needs , and critically that they can recharge as easily as they refuel.","Success may depend on reassuring consumers that they can afford these new technologies , that they will deliver their own needs , and critically that they can recharge as easily as they refuel.",成功将取决于让消费者放心，他们可以负担得起这些新技术，他们将满足自己的需求，而且至关重要的是，他们可以像加油一样轻松地充电。,成功可能取决于让消费者放心，他们可以负担得起这些新技术，他们将满足自己的需求，而且至关重要的是，他们可以像加油一样轻松地充电。,0,,
"Perez can be anonymous some weekends , but then he can produce these fine drives that come out of nowhere , to be best of the rest or even snatch a podium , which he has done so many times in midfield machinery.","Perez will be anonymous some weekends , but then he can produce these fine drives that come out of nowhere , to be best of the rest or even snatch a podium , which he has done so many times in midfield machinery.",佩雷斯在某些周末可能是匿名的，但随后他可以产生这些不知从何而来的出色驱动，成为其他人中最好的，甚至抢夺领奖台，他在中场机器中已经做过很多次。,佩雷斯在某些周末会匿名，但随后他可以做出这些无处不在的出色驱动，成为其他人中最好的，甚至抢夺领奖台，他在中场机器中已经做过很多次。,1,不知从何而来,无处不在
"New Zealand ' s election will hardly change the main course of the country ' s history with China despite some challenging moments during the year , analysts said ahead of the poll on Saturday.","New Zealand ' s election will hardly change the main course of the country ' s history with China after some challenging moments during the year , analysts said ahead of the poll on Saturday.",分析人士在周六的投票前表示，尽管新西兰在这一年中遇到了一些具有挑战性的时刻，但新西兰的大选几乎不会改变该国与中国的主要历史进程。,分析人士在周六的民意调查前表示，在今年经历了一些具有挑战性的时刻之后，新西兰的选举几乎不会改变该国与中国的主要历史进程。,1,投票,民意调查
