S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
"Later, after speaking with her and acquiring a very questionable Google search history, I found out that stumbling across an au naturel enclave is practically a rite of passage in Berlin.","Later, after speaking with her and acquiring a very questionable Google search history, I found out that stumbling across an au naturel enclave in a public park or beach is practically a rite of passage in Berlin.",后来，在与她交谈并获得了一个非常可疑的谷歌搜索历史后，我发现偶然发现一个自然飞地实际上是柏林的通过仪式。,后来，在与她交谈并获得了一个非常可疑的谷歌搜索历史后，我发现在公园或海滩上偶然发现一个自然飞地实际上是柏林的成年礼。,,True
Those are the things that he brings and trying to negate that is difficult because he is a very resilient character who will continue to bring that regardless of how the game's going.,Those are the things that he brings and trying to negate that is difficult because he is a very resilient character who will continue to bring that regardless of how the game's going for them.,这些是他带来的东西，试图否定这一点是很困难的，因为他是一个非常有弹性的角色，无论比赛如何进行，他都会继续带来这些。,这些是他带来的东西，试图否定这一点是很困难的，因为他是一个非常有弹性的角色，无论比赛如何，他都会继续带来这一点。,True,
"Despite being a veteran actor of the traditional folk dance, 58-year-old Tashi Wangdu had never staged a performance in front of a big audience.","Despite being a veteran actor of the traditional folk dance, 58-year-old Tashi Wangdu had never until recently staged a performance in front of a big audience.",尽管是传统民间舞蹈的资深演员，但58岁的扎西文色从未在众多观众面前表演过。,尽管是传统民间舞蹈的资深演员，但58岁的扎西文色旺都直到最近才在众多观众面前表演过。,,True
There were times I could just hear the echo of my footsteps out there.,There were times I could just hear the echo of my footsteps out there because I was running completely blind.,有时我只能听到外面脚步声的回声。,有时我只能听到外面的脚步声，因为我完全失明了。,True,
Duchovny has been making music for years and said he began with writing poetry when he was a teenager.,Duchovny has been making music for years and said he began with writing poetry when he was a teenager and went on to learning how to play guitar and writing songs.,杜楚尼多年来一直在制作音乐，他说他十几岁时就开始写诗。,Duchovny多年来一直在制作音乐，他说他十几岁时就开始写诗，后来学习如何弹吉他和写歌。,,True
They also want eligibility criteria reviewed to help those who have been singled out of support.,They also want eligibility criteria reviewed to help those who have been singled out of support so far.,他们还希望审查资格标准，以帮助那些被挑出来支持的人。,他们还希望审查资格标准，以帮助那些迄今为止被挑出来的人。,True,
"The producer said the third movie in the franchise, which stars Eddie Redmyane, is currently in production.","The producer said the third movie in the franchise, which stars Eddie Redmyane, is currently in production and set to debut in summer 2022.",制片人表示，该系列的第三部电影由Eddie Redmyane主演，目前正在制作中。,制片人表示，该系列的第三部电影由埃迪·雷德米安主演，目前正在制作中，并将于 2022 年夏季首映。,,True
The low prize money on offer at smaller tournaments and high costs mean players often live hand to mouth.,The low prize money on offer at smaller tournaments and high costs mean players in the top 100 often live hand to mouth.,小型锦标赛提供的低奖金和高成本意味着玩家经常手到嘴。,小型锦标赛提供的低奖金和高成本意味着前 100 名的玩家经常手头相接。,,True
"Some have called for more pragmatism, arguing a shorter isolation will be more effective in controlling the spread of the virus.","Some have called for more pragmatism, arguing a shorter isolation will be more effective in controlling the spread of the virus because of the compliance.",一些人呼吁采取更多的实用主义，认为更短的隔离将更有效地控制病毒的传播。,一些人呼吁更加务实，认为由于合规性，更短的隔离将更有效地控制病毒的传播。,True,
"New residences with local features rise from the ground, modern buildings stand tall, flat and wide roads are far away.","New residences with local features rise from the ground, modern buildings stand tall, flat and wide roads are far away, farmlands full of life buzz with activity of the machinery.",具有地方特色的新住宅从地面拔地而起，现代建筑高大屹立，平坦而宽阔的道路遥遥无期。,具有当地特色的新住宅从地面拔地而起，现代建筑高耸入云，平坦宽阔的道路远处，充满生机的农田随着机器的活动而嗡嗡作响。,,True
"But there is one Woods landmark McIlroy can emulate at the Masters, which was played until November.","But there is one Woods landmark McIlroy can emulate at the Masters, which was played until November because of the coronavirus outbreak.",但是有一个伍兹里程碑麦克罗伊可以在大师赛上效仿，一直打到十一月。,但是有一个伍兹里程碑麦克罗伊可以在大师赛上效仿，由于冠状病毒的爆发，该比赛一直打到11月。,True,
"When i was watching other leg-spinners a few years back, I would sometimes dream that I will be someone else's role model.","When i was watching other leg-spinners a few years back, I would sometimes dream that maybe in the future I will be someone else's role model.",几年前，当我看其他腿部旋转运动员时，我有时会梦想自己会成为别人的榜样。,几年前，当我观看其他腿部旋转器时，我有时会梦想也许将来我会成为别人的榜样。,,True
"Unless we have people to isolate, they are never going to stop carrying on with their lives.","Unless we have people to isolate, they are never going to stop carrying on with their lives and inadvertently turn on the virus.",除非我们有人要隔离，否则他们永远不会停止继续他们的生活。,除非我们有人要隔离，否则他们永远不会停止生活，无意中打开病毒。,True,
"This goes to the High Court, where judges found that most, but not all of the policies involved should pay out offering a lifeline to these small businesses.","This goes to the High Court, where judges found that most, but not all of the policies involved should pay out offering a potential lifeline to these small businesses.",这涉及到高等法院，法官发现大多数（但不是全部）所涉及的保单都应该为这些小企业提供生命线。,这提交给了高等法院，法官发现，大多数（但不是全部）所涉及的保单都应该为这些小企业提供潜在的生命线。,,True
"This is the first time the smartphone brand took such a position, following the first in 2014.","This is the first time the smartphone brand took such a position, following the first in 2014, according to Beijing News.",这是智能手机品牌继2014年首次采取这种立场之后的第一次。,据新京报报道，这是智能手机品牌继2014年首次采取这种立场之后。,True,
"There’s something deeply moving about seeing something germinate, flower.","There’s something deeply moving about seeing something germinate, flower or even go to seed.",看到一些东西发芽，花朵，有一种深深的感动。,看到一些东西发芽、开花甚至播种，会有一些深深的感动。,,True
The toughest social curbs were announced amid fears that hospitalisations and deaths could exceed those seen during the first wave of the virus.,The toughest social curbs were announced amid fears that hospitalisations and deaths could exceed those seen during the first wave of the virus in the previous six weeks.,由于担心住院和死亡人数可能超过第一波病毒期间看到的人数，宣布了最严厉的社会限制措施。,由于担心住院和死亡人数可能超过过去六周第一波病毒期间的情况，宣布了最严厉的社会限制措施。,,True
