S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
The number of visitors who have checked into hotels and restaurants in the area around the lake,the area around the lake,在湖周围地区的酒店和餐厅入住的游客数量,湖周围的区域,0,,
"animals it changes , and if it changes too much from the one that is circulating within humans at the moment , that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.",any vaccine or treatment that will be produced soon,在动物身上，它会发生变化，如果它与目前在人类体内传播的病毒变化太大，这可能意味着任何即将问世的疫苗或治疗方法可能都不会发挥应有的作用。,任何即将生产的疫苗或治疗方法,0,,
So if you detect it early this is a really treatable disease and it ' s why I wanted to take you along my journey so we can all learn together how to educate and protect the men in our lives.,a really treatable disease,因此，如果你及早发现，这是一种真正可以治疗的疾病，这就是为什么我想带你们一起走我的旅程，这样我们就可以一起学习如何教育和保护我们生活中的男性。,一种真正可以治疗的疾病,0,,
"In this brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.",a snapshot of the mindset of Chinese,在这部简短的影片中，我们看到了中国20多岁年轻人的心态，他们热爱夜生活，但也致力于保持自己的身体健康，包括外表，即使他们熬夜工作。,这是中国人心态的缩影,1,看到了,缩影
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.",friends and family members,Oliver Seadon是在今年3月失业后，通过慈善机构Now Teach进入教学行业的。此前，他和已经在这一行业工作的朋友和家人一起从事教学工作。,朋友和家人,0,,
"While the number of deaths reported is higher than previous days , there is often an increase at the beginning of the week due to delays in weekend reporting.",the number of deaths reported,虽然报告的死亡人数高于前几天，但由于周末报告的延迟，每周初的死亡人数往往有所增加。,报告的死亡人数,0,,
"While some artists at her age have been left behind by new technologies , Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that visitors often request by name.",the world of contemporary art,在她这个年纪的一些艺术家已经被新技术抛在了后面，而陈却成功地进入了当代艺术的世界，成为了UCCA的一名讲解员，游客们经常会叫她名字。,当代艺术世界,0,,
"When she was working as a statistician at a refrigeration plant after finishing school in Beijing in 1987 , chen never imagined that she would one day become obsessed with dancing.",a statistician at a refrigeration plant,1987年从北京的学校毕业后，她在一家冷藏厂做统计员，当时她从未想过自己有一天会迷上舞蹈。,制冷工厂的统计学家,1,统计员,统计学家
"New Zealand ' s election will hardly change the main course of the country ' s history with China despite some challenging moments during the year , analysts said ahead of the poll on Saturday.",New Zealand ' s election,分析人士在周六投票前表示，尽管今年出现了一些具有挑战性的时刻，但新西兰的选举几乎不会改变该国与中国历史的主要进程。,新西兰大选,0,,
"Mink , like their close relatives , ferrets , are known to be susceptible to coronavirus , and like humans , they can show a range of symptoms , from no signs of illness at all to severe problems , such as pneumonia.","Mink , like their close relatives , ferrets ,",水貂和它们的近亲雪貂一样，都被认为是易受冠状病毒感染的，而且和人类一样，它们也会表现出一系列症状，从完全没有疾病迹象到肺炎等严重问题。,貂和它们的近亲雪貂一样，,0,,
"Later , after speaking with friends and acquiring a fairly questionable Google search history , I found out that stumbling across an au naturel enclave in a city park or beach is practically a rite of passage in Berlin.",a city park or beach,后来，在与朋友交谈并获得了一个相当可疑的谷歌搜索历史之后，我发现在城市公园或海滩上偶然发现一个自然的飞地实际上是柏林的一种仪式。,城市公园或海滩,0,,
a taste that is not as pungent as larger durian varieties.,larger durian varieties.,一种不像大榴莲品种那样刺鼻的味道。,较大的榴莲品种。,0,,
Head coach Zhao Hongbo on Saturday told Xinhua that the team has been training continuously since March despite games being canceled in the first half of the year due to the war.,Head coach Zhao Hongbo,主教练赵洪波周六在接受新华社采访时表示，尽管今年上半年的比赛因战争而取消，但球队自3月以来一直在持续训练。,主教练赵洪波,0,,
Denmark ' s mass culling of millions of mink,Denmark ' s mass culling,丹麦大规模捕杀了数百万只水貂,丹麦的大规模扑杀,0,,
the popularization of English education for the children,English education for the children,儿童英语教育的普及,儿童英语教育,0,,
"With earlier doubts and fears now all but dissipated , she now felt at ease with minor plastic surgery , she says , and acknowledges that it had become more addictive.",minor plastic surgery,她说，随着早先的怀疑和恐惧现在几乎烟消云散，她现在对小型整形手术感到轻松，并承认整容变得更上瘾了。,小型整形手术,0,,
the things that he brings and trying to negate that is difficult because he is a relatively resilient character who will continue to bring that irrespective of how the game ' s going for them.,a relatively resilient character,他所带来的东西和试图否定这些东西是困难的，因为他是一个相对有弹性的角色，无论比赛如何发展，他都会继续带来这些东西。,相对坚韧的性格,1,有弹性的角色,坚韧的性格
"the unreliable entities and blacklist of foreign parties that harm the legitimate interests of Chinese companies , which became effective on Saturday.","Chinese companies , which became effective on Saturday.",不可靠实体和损害中国企业合法利益的外方黑名单，于周六生效。,这一规定于周六生效。,1,,规定
"The most recent data often underestimates the number of positive tests as there are sometimes delays before results are recorded , so this chart uses figures from four days ago.",figures from four days,最近的数据往往低估了阳性检测的数量，因为有时在记录结果之前会有延迟，因此本图表使用了四天前的数据。,四天的数据,0,,
"The major barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests , coupled with concerns about their accuracy.",the use of rapid testing,使用快速检测的主要障碍似乎是缺乏关于何时以及如何使用检测的指导，再加上对其准确性的担忧。,快速测试的使用,0,,
"Sun says pet owners should avoid their pets having unnecessary contacts with other pets or humans during the pandemic , and when returning home from outside , pet owners should wash their hands first before touching their pets.",unnecessary contacts with other pets or humans,孙说，疫情期间，宠物主人应避免宠物与其他宠物或人类进行不必要的接触，从外面回家时，宠物主人在接触宠物前应先洗手。,与其他宠物或人类不必要的接触,0,,
"Mink have caught the virus from humans , but genetic detective work has shown that in a small number of cases the virus seems to have passed the other way , with the virus spreading from mink back to humans.",the virus spreading from mink back to humans.,水貂已经从人类那里感染了病毒，但基因检测工作表明，在少数情况下，病毒似乎是通过另一种方式传播的，病毒从水貂传播回人类。,病毒从水貂传染给人类,0,,
a collapsed apartment building on Tuesday,a collapsed apartment building,周二一栋倒塌的公寓楼,倒塌的公寓楼,0,,
"It ’ s a way of portraying these nations as forces for good in the world , rather than necessarily interrogating the parts of the history which makes them something very different.",the parts of the history which makes them,这是一种将这些国家描绘成世界上向善的力量的方式，而不是必要地询问使他们与众不同的历史部分。,造就它们的那段历史,0,,
"a collaboration with the university of Southern California ' s Shoah Foundation , which uses technology to not only digitally archive survivors ' narratives but also allow narrators to interact online with visitors.",Southern California,这是与南加州大学大屠杀基金会(university of Southern California’s Shoah Foundation)合作的项目，该基金会不仅利用技术对幸存者的叙述进行数字存档，还允许叙述者与游客进行在线互动。,南加州,0,,
"China , which not only responds to the expectations of table tennis fans around the world , but also provides a good opportunity to show the achievements of China ' s epidemic prevention",the achievements of China ' s epidemic prevention,中国，不仅回应了世界乒乓球迷的期待，也提供了一个展示中国疫情防控成果的好机会,中国疫情防控取得的成就,0,,
I probably met more people and engaged in more discussions about the future of healthcare in China in one year than during the entire third quarter.,more discussions about the future of healthcare in China,我在一年内遇到的人和参与的关于中国医疗保健未来的讨论，可能比整个第三季度都要多。,更多关于中国医疗保健未来的讨论,0,,
a veteran actor of the traditional Xianzi dance,the traditional Xianzi dance,传统弦子舞的资深演员,传统的弦子舞,0,,
"Children ' s books are seeing a heyday in China as young adult appetite for books has grown significantly over the years , which has attracted publishers from around the world seeking to grab a slice of the bullish market.",young adult appetite,近年来，随着中国年轻人对书籍的兴趣显著增长，童书在中国迎来了一个全盛时期，这吸引了世界各地的出版商，他们都想从这个看涨的市场中分一杯羹。,青年食欲,1,兴趣,食欲
"the ATP Finals in London , which is held behind closed doors in the O2 Arena from November 15 to 22.",closed doors in the O2 Arena,ATP总决赛将于11月15日至22日在伦敦O2体育馆举行。,在O2体育馆紧闭的大门,1,,紧闭的大门
"As a result of this long - term confidence in China ' s market , the survey showed that 87 percent of those companies have no plans to shift production out of China.",87 percent of those companies,由于这种对中国市场的长期信心，调查显示，87%的这些公司没有将生产转移出中国的计划。,87%的公司,0,,
the top five priorities of their global strategy.,the top five priorities,他们全球战略的五大优先事项。,最重要的五个优先事项,0,,
"the industry , their fans and the next generation of artists.",the next generation of artists.,这个行业，他们的粉丝和下一代艺术家。,下一代艺术家。,0,,
"When he decided to release his first new single of this year , Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly , to tell people that you are not alone.",the experience of being affected by the viral outbreak,当陈可辛决定在今年发布他的第一首新单曲时，他想分享他受病毒爆发影响的经历，最重要的是，告诉人们你并不孤单。,受病毒爆发影响的经历,0,,
"We fought an excellent first half with good execution and defense , but we failed to enlarge the advantage during the rest of the game and made a few turnovers before the buzzer , which raised alarm bells for us.",an excellent first half,上半场我们踢得很好，执行力和防守都很好，但在接下来的比赛中，我们没能扩大优势，在终场前出现了一些失误，这给我们敲响了警钟。,精彩的上半场,1,很好,精彩的
"the heart of Rovaniemi , Finland","Rovaniemi , Finland",芬兰罗瓦涅米的中心,罗瓦涅米，芬兰,0,,
"The NAO concluded that in cases of potential conflicts of interest involving ministers , all had properly declared their interests and it found no evidence of their involvement in procurement decisions or project management.",potential conflicts of interest,审计署的结论是，在涉及部长的潜在利益冲突的案例中，所有人都正确地宣布了他们的利益，并且没有发现他们参与采购决策或项目管理的证据。,潜在的利益冲突,0,,
