S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f,LLM
美国总统特朗普放大了这些风险，他在外交政策上犯了许多错误，既没能处理好朝鲜危机，还威胁要废除伊朗核协议。,伊朗核协议,"President Trump of the United States has magnified these risks, making many mistakes in foreign policy, failing to handle the North Korean crisis well and threatening to abolish the Iran nuclear agreement.",Iran nuclear agreement,0,,,GPT-3.5-turbo-1106
对政治职位上瘾总是令人担忧的，因为当领导人不再认识到权力限制的时候，民主就会变成专制。,权力限制的时候,"Being addicted to political positions is always worrying, because when leaders no longer recognize the limitations of power, democracy can turn into dictatorship.",the limitations of power,0,,,GPT-3.5-turbo-1106
饮水、卫生设施、基本医疗保健和教育,基本医疗保健和教育,"Drinking water, sanitation facilities, basic health care, and education",Basic health care and education,0,,,GPT-3.5-turbo-1106
那是一个获得真相的时刻，从内部清洗斯大林主义的残暴。,一个获得真相的时刻,That was a moment to uncover the truth and cleanse the brutality of Stalinism from within.,A moment to uncover the truth,0,,,GPT-3.5-turbo-1106
自从在1999年通过一场政变获得权力后，穆沙拉夫至少已经躲过了三次严重的暗伤图谋。,三次严重的暗伤图谋,"Since seizing power through a coup in 1999, Musharraf has survived at least three serious assassination attempts.",Three serious assassination attempts,0,,,GPT-3.5-turbo-1106
但是，在国家之间，即便是核威慑也比乍看上去更复杂，在网络空间中的威慑更是如此。,在网络空间中的威慑,"However, between nations, even nuclear deterrence is more complex than it appears at first glance, and deterrence in cyberspace is even more so.",Deterrence in cyberspace,0,,,GPT-3.5-turbo-1106
未来建筑业的崩溃和家庭财富的巨大损失,建筑业的崩溃和家庭财富,The collapse of the construction industry in the future and the enormous loss of family wealth,The collapse of the construction industry and family wealth,0,,,GPT-3.5-turbo-1106
虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,虽然古巴政府已封堵了该歌所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,"Although the Cuban government has blocked the website where the blog is located, it is still widely disseminated worldwide in multiple languages and also distributed within Cuba through CDs and flash drives.","Although the Cuban government has blocked the website where the song is located, it is still widely disseminated worldwide in multiple languages and also distributed within Cuba through CDs and flash drives.",1,,entire,GPT-3.5-turbo-1106
赫尔及东北的整个英格兰北部地区,东北的整个英格兰北部地区,"The whole of northern England, including Durham and Northumberland.",The entire northern region of England's northeast.,1,,region,GPT-3.5-turbo-1106
在某种程度上，这是一个生死攸关的问题，在更普遍意义上，它决定了我们是否能实现生活中的成就与满足。,一个生死攸关的问题,"To some extent, this is a matter of life and death; in a broader sense, it determines whether we can achieve fulfillment and satisfaction in life.",A matter of life and death,0,,,GPT-3.5-turbo-1106
美国总统特朗普放大了这些风险，他在外交政策上犯了许多错误，既没能处理好朝鲜危机，还威胁要废除伊朗核协议。,伊朗核协议,"President Trump of the United States has amplified these risks, committing many mistakes in his foreign policy, failing to handle the North Korean crisis and even threatening to cancel the Iran nuclear deal.",Iran nuclear deal,0,,,Llama-2-70b-chat
