S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.","Oliver dad made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.",Oliver Seadon是在今年3月失业后，通过慈善机构Now Teach进入教学行业的。此前，他和已经在这一行业工作的朋友和家人一起从事教学工作。,奥利弗的父亲是在今年3月失业后，和已经在这一行工作的朋友和家人一起通过慈善机构Now Teach进入教学行业的。,1,Oliver Seadon,奥利弗
"While the number of deaths reported is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.","While the number of developments reported is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.",虽然报告的死亡人数高于前几天，但由于周末报告的延迟，每周初的死亡人数往往有所增加。,虽然报告的事态发展数量比前几天有所增加，但由于周末报告的延迟，在一周开始时往往有所增加。,0,,
"We have staff who have moved out to live elsewhere in order to protect relatives at home, staff who have cancelled holidays, who aren' t seeing their loved ones because they' re dedicated to working here and they see the urgency.","We have staff who have moved out to live elsewhere in order to protect relatives at home, writers who have cancelled holidays, who aren' t seeing their loved ones because they' re dedicated to working here and they see the urgency.",我们的工作人员搬到其他地方生活，以保护家里的亲戚，工作人员取消了假期，他们看不到亲人，因为他们致力于在这里工作，他们看到了紧迫性。,我们的工作人员为了保护家里的亲人而搬到其他地方生活，作家们取消了假期，他们看不到他们的亲人，因为他们致力于在这里工作，他们看到了紧迫性。,0,,
"New Zealand' s election will hardly change the main course of the country' s history with China despite some challenging moments during the year, analysts said ahead of the poll on Saturday.","New Zealand' s election will hardly change the main course of the country' s history with China despite some challenging moments during the test, analysts said ahead of the poll on Saturday.",分析人士在周六投票前表示，尽管今年出现了一些具有挑战性的时刻，但新西兰的选举几乎不会改变该国与中国历史的主要进程。,分析人士在周六投票前表示，尽管在测试中出现了一些具有挑战性的时刻，但新西兰的选举几乎不会改变该国与中国历史的主要进程。,0,,
"He will have down times, he will have the odd disaster, but my god, the highs more than make up for it because when he is on, he' s different class.","He will have down times, he will have the odd disaster, but my heart, the highs more than make up for it because when he is on, he' s different class.",他会有低谷的时候，他会有奇怪的灾难，但我的天，他的高潮远远弥补了这些，因为当他上场的时候，他是不同的阶层。,他会有低谷的时候，他会有奇怪的灾难，但我的心，高潮远远弥补了这些，因为当他上场的时候，他是不同的阶级。,0,,
"With earlier doubts and fears now all but dissipated, she now felt at ease with minor plastic surgery, she says, and acknowledges that it had become more addictive.","With earlier doubts and fears now all but dissipated, she now felt at ease with minor plastic surgery, she says, and acknowledges that it had become more held.",她说，随着早先的怀疑和恐惧现在几乎烟消云散，她现在对小型整形手术感到轻松，并承认整容变得更上瘾了。,她说，随着早先的怀疑和恐惧现在几乎烟消云散，她现在对小型整形手术感到轻松，并承认它变得更加压抑。,0,,
We are very committed to operating in that way and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,We are very committed to operating in that way and of course that is one of our advantages to tourists that we are doing everything to make laura safe and secure.,我们非常致力于以这种方式运营，当然，这是我们对游客的优势之一，我们正在尽一切努力确保旅游业的安全。,我们非常致力于以这种方式经营，当然，这是我们对游客的优势之一，我们正在尽一切努力使劳拉安全可靠。,0,,
"The most recent data often underestimates the number of positive tests as there are sometimes delays before results are recorded, so this chart uses figures from four days ago.","The most recent data often included the number of positive tests as there are sometimes delays before results are recorded, so this chart uses figures from four days ago.",最近的数据往往低估了阳性检测的数量，因为有时在记录结果之前会有延迟，因此本图表使用了四天前的数据。,最近的数据通常包括阳性检测的数量，因为在记录结果之前有时会有延迟，因此本图表使用了四天前的数据。,0,,
"The major barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests, coupled with concerns about their accuracy.","The major barriers to the theory of rapid testing seem to be a lack of guidance on when and how to use the tests, coupled with concerns about their accuracy.",使用快速检测的主要障碍似乎是缺乏关于何时以及如何使用检测的指导，再加上对其准确性的担忧。,快速检测理论的主要障碍似乎是缺乏关于何时以及如何使用检测的指导，再加上对其准确性的担忧。,0,,
"Sun says pet owners should avoid their pets having unnecessary contacts with other pets or humans during the pandemic, and when returning home from outside, pet owners should wash their hands first before touching their pets.","Sun says pet owners should avoid their pets having unnecessary contacts with other pets or humans during the nocturnal, and when returning home from outside, pet owners should wash their hands first before touching their pets.",孙说，疫情期间，宠物主人应避免宠物与其他宠物或人类进行不必要的接触，从外面回家时，宠物主人在接触宠物前应先洗手。,孙说，宠物主人应该避免他们的宠物在夜间与其他宠物或人类进行不必要的接触，从外面回家时，宠物主人在触摸宠物之前应该先洗手。,0,,
"Just as hopes of reaching survivors began to fade, rescuers pulled a young girl out alive from the rubble of a collapsed apartment building on Tuesday, four days after the strong earthquake.","Just as hopes of reaching survivors began to fade, jim pulled a young girl out alive from the rubble of a collapsed apartment building on Tuesday, four days after the strong earthquake.",就在找到幸存者的希望开始渺茫之际，周二，在强烈地震发生四天之后，救援人员从一栋倒塌的公寓楼的废墟中救出了一名年轻女孩。,就在营救幸存者的希望开始渺茫的时候，吉姆在星期二，也就是强烈地震发生的第四天，从一栋倒塌的公寓楼的废墟中救出了一个活着的小女孩。,1,,活着的
"It ’ s a way of portraying these nations as forces for good in the world, rather than necessarily interrogating the parts of the history which makes them something very different.","It ’ s a way of portraying these nations as forces for good in the world, rather than necessarily paying the parts of the history which makes them something very different.",这是一种将这些国家描绘成世界上向善的力量的方式，而不是必要地询问使他们与众不同的历史部分。,这是一种将这些国家描绘成世界上美好力量的方式，而不是必须为使他们与众不同的历史部分付出代价。,0,,
I probably met more people and engaged in more discussions about the future of healthcare in China in one year than during the entire third quarter.,I probably married more people and engaged in more discussions about the future of healthcare in China in one year than during the entire third quarter.,我在一年内遇到的人和参与的关于中国医疗保健未来的讨论，可能比整个第三季度都要多。,我在一年内与更多的人结了婚，参与了更多关于中国医疗保健未来的讨论，比整个第三季度都要多。,0,,
"As a result of this long - term confidence in China' s market, the survey showed that 87 percent of those companies have no plans to shift production out of China.","As a result of this long - term confidence in China' s market, the survey showed that 87 percent of those companies have no labor to shift production out of China.",由于这种对中国市场的长期信心，调查显示，87%的这些公司没有将生产转移出中国的计划。,由于这种对中国市场的长期信心，调查显示，87%的这些公司没有劳动力将生产转移出中国。,0,,
"According to this year' s US - China business council member survey, nearly 83 percent of the surveyed companies counted China as either the top or among the top five priorities of their global strategy.","According to this afternoon' s US - China business council member survey, nearly 83 percent of the surveyed companies counted China as either the top or among the top five priorities of their global strategy.",根据今年的美中贸易全国委员会成员调查，近83%的受访企业将中国列为其全球战略的首要或五大优先事项之一。,根据今天下午美中贸易全国委员会成员的调查，近83%的受访公司将中国列为其全球战略的首要或五大优先事项之一。,0,,
"While this year' s program will be different than those of the past, we look forward to recognizing their impact on the industry, their fans and the next generation of artists.","While this year' s program will be different than those of the past, we look forward to recognizing their impact on the industry, their fans and the next generation of girls.",虽然今年的节目将与过去有所不同，但我们期待着认识到他们对行业、他们的粉丝和下一代艺术家的影响。,虽然今年的节目将与过去有所不同，但我们期待着认识到她们对行业、她们的粉丝和下一代女孩的影响。,0,,
