S_s,S_f,T_s,T_f,Limitation-B,Limitation-text
"We fought an excellent first half with good execution and defense , but we failed to enlarge the advantage during the rest of the game and made a few turnovers before the buzzer , which raised alarm bells for us.",an excellent first half,上半场我们打得非常出色，执行力和防守都很好，但在接下来的比赛中我们未能扩大优势，在压哨前出现了几次失误，给我们敲响了警钟。,出色的上半场,True,
"The guidelines previously said the virus spreads only through breathing in respiratory droplets , touching contaminated surfaces and common greetings like kisses and hugs.",surfaces and common greetings,该指南此前表示，该病毒仅通过吸入呼吸道飞沫、接触受污染的表面以及亲吻和拥抱等常见问候方式传播。,表面和常见的问候语,,
"The opportunity to earn an invitation to the Masters and stand at that first tee was my dream , and to have it come true in 1975 remains one of the greatest highlights of my career and life.",the greatest highlights of my career and life.,有机会获得美国大师赛的邀请并站在第一个发球台是我的梦想，而在 1975 年实现它仍然是我职业生涯和生活中最伟大的亮点之一。,我职业生涯和生活中最大的亮点。,,
a local buyer of dozens of remaining relics,dozens of remaining relics,数十件剩余文物的当地买家,数十件遗物,,
the pride of his snooker - loving nation in 2005,his snooker - loving nation in 2005,2005 年他热爱斯诺克的国家的骄傲,2005年他的斯诺克爱国,,
"To facilitate contact tracing , guests will be obliged to book in advance for each film release and sit only on their pre - ordered seat.",advance for each film release,为便于追踪接触者，客人必须提前预订每部电影上映时间，并且只能坐在他们预订的座位上。,预付每部电影上映,True,
"the original egg fried rice video , a response that has gathered more than 17 million views so far.",the original egg fried rice video,原创鸡蛋炒饭视频，迄今为止已获得超过 1700 万次观看。,原来的蛋炒饭视频,,
"Frost ' s Descent is the last solar term of autumn , during which time the weather becomes much colder than before and frost begins to appear.",the last solar term,霜降是秋天的最后一个节气，此时天气比以前冷很多，开始出现霜冻。,上个节气,,
"According to Traditional Chinese Medicine , the human body ’ s constitutions are intimately connected with the surrounding environment.",Traditional Chinese Medicine,中医认为，人体的体质与周围环境密切相关。,中药,,
the summer that Home Secretary Priti Patel had broken rules on ministers ' behaviour,Home Secretary Priti Patel,那个夏天，内政大臣普里蒂·帕特尔违反了有关部长行为的规定,内政大臣帕特尔,True,
Other economists have expressed doubts about the potential for such a large recovery in activity.,such a large recovery in activity.,其他经济学家对经济活动出现如此大幅度复苏的可能性表示怀疑。,如此大的活动恢复。,True,
Tofu and duck blood in traditional Taiwan style are the highlight of the spicy soup base.,Tofu and duck blood in traditional Taiwan style,传统台湾风味的豆腐和鸭血是麻辣汤底的亮点。,台湾传统豆腐鸭血,True,
"The menu currently offers several different hotpot bases , including assorted mushrooms , golden dried fruits and preserved Chinese dishes and pork.",Chinese dishes and pork.,菜单目前提供几种不同的火锅底料，包括什锦蘑菇、金黄色干果和中式腊菜和猪肉。,中国菜和猪肉。,True,
Sun says cat owners should create some quiet corner or cat climber to give their cats a choice when they want to be alone and try not to disturb them.,some quiet corner or cat climber,孙说，猫主人应该创造一些安静的角落或猫爬架，让他们的猫在想独处时有选择，尽量不要打扰它们。,一些安静的角落或猫爬,,
