S_s,S_f,T_s,T_f,Limitation-A,Limitation-text
"In this brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.","In the brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.",在这部简短的影片中，我们简要了解了20多岁的中国人的心态，他们热爱夜生活，但一心要保持身体健康，包括外表，即使他们两头烧蜡烛。,在这部短片中，我们看到了20多岁的中国人的心态快照，他们热爱夜生活，但一心要保持身体健康，包括外表，即使他们两头烧蜡烛。,True,
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.","Oliver Condon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.",奥利弗·西顿在与已经从事该行业的朋友和家人一起从事教学工作后，在3月份失业后，通过慈善机构NowTeach转向教学。,奥利弗·康登在与已经从事该行业的朋友和家人一起从事教学工作后，在3月份失业后，通过慈善机构NowTeach开始从事教学工作。,True,
"The official ' s comments came after the ministry of commerce issued a regulation on the unreliable entities and blacklist of foreign parties that harm the legitimate interests of Chinese companies , which became effective on Saturday.","The official ' s comments came after the ministry of commerce issued a regulation on the unreliable entities and blacklist of foreign parties which harm the legitimate interests of Chinese companies , which became effective on Saturday.",该官员的评论是在商务部发布关于损害中国公司合法利益的不可靠实体和外国实体黑名单的规定之后发表的，该规定于周六生效。,该官员的评论是在商务部发布关于损害中国公司合法利益的不可靠实体和外方黑名单的规定之后发表的，该规定于周六生效。,True,
"It ’ s a way of portraying these nations as forces for good in the world , rather than necessarily interrogating the parts of the history which makes them something very different.","It ’ s a way of portraying these nations as forces for good in the world , rather than necessarily interrogating the parts of the history that makes them something very different.",这是一种将这些国家描绘成世界上向善的力量的方式，而不是一定要审问那些使它们变得截然不同的历史部分。,这是一种将这些国家描绘成世界上向善的力量的方式，而不是一定要审视使它们变得截然不同的历史部分。,True,
"When he decided to release his first new single of this year , Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly , to tell people that you are not alone.","When Chan decided to release his first new single of this year , Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly , to tell people that you are not alone.",当他决定发行他今年的第一首新单曲时，陈想分享他受病毒爆发影响的经历的感受，最重要的是，告诉人们你并不孤单。,当Chan决定发行他今年的第一首新单曲时，Chan想分享他受病毒爆发影响的经历，最重要的是，告诉人们你并不孤单。,True,
"We talked about how sometimes in recovery , your life can get bigger than you ever thought possible.","We talked about how sometimes in recovery , your life could get bigger than you ever thought possible.",我们谈到有时在康复过程中，您的生活会变得比您想象的更广阔。,我们谈到有时在康复过程中，您的生活会变得比您想象的更重要。,True,
"The costs of some popular routes have been halved for the period from mid - October through November , compared with the holiday.","The lengths of some popular routes have been halved for the period from mid - October through November , compared with the holiday.",与假期相比，10月中旬至11月期间，一些热门航线的费用已减半。,与假期相比，10月中旬至11月期间，一些热门路线的长度已减半。,True,
"Players and coaches were confined to four walls for the entirety of the quarantine , only entering the room door to collect food , get tested for the virus and dispose of rubbish.","Players and coaches were confined to four walls for the entirety of the quarantine , only entering the room door to collect food , get tested for the virus or dispose of rubbish.",球员和教练在整个隔离期间被限制在四堵墙内，只能进入房间门收集食物、进行病毒检测和处理垃圾。,球员和教练在整个隔离期间被限制在四堵墙内，只能进入房间门领取食物、接受病毒检测或处理垃圾。,True,
"Even on a hot summer day , expect them to be bracing , as they come in from the Atlantic and remain ice - cold year - round as a result.","Especially on a hot summer day , expect them to be bracing , as they come in from the Atlantic and remain ice - cold year - round as a result.",即使在炎热的夏日，它们也会精神抖擞，因为它们来自大西洋，因此全年都保持冰冷。,尤其是在炎热的夏日，预计它们会精神抖擞，因为它们来自大西洋，因此全年都保持冰冷。,True,
"When I was watching other leg - spinners a few years back , I would never dream that sometime in the future I will be someone else ' s role model.","When I was watching other leg - spinners a few years back , I would never dream that sometime in the future I will be somebody else ' s role model.",几年前，当我在看其他飞腿高手时，我做梦也想不到有一天我会成为别人的榜样。,几年前，当我在看其他的转腿运动员时，我做梦也想不到有一天我会成为别人的榜样。,True,
Those who have previously visited the Schengen area and have a positive visa history will be granted the opportunity to have a multiple - entry visa valid for up to five years.,Those who have previously visited the Schengen area and have a positive visa history can be granted the opportunity to have a multiple - entry visa valid for up to five years.,那些以前访问过申根地区并拥有良好签证历史的人将有机会获得有效期长达五年的多次入境签证。,那些以前访问过申根地区并拥有良好签证历史的人可以获得有效期长达五年的多次入境签证。,True,
The toughest social curbs were announced amid warnings that hospitalisations and deaths could exceed those seen during the first wave of the virus in the next six weeks.,The harshest social curbs were announced amid warnings that hospitalisations and deaths could exceed those seen during the first wave of the virus in the next six weeks.,在警告称未来六周内住院和死亡人数可能超过第一波病毒浪潮期间的人数的警告下，政府宣布了最严厉的社会限制措施。,在警告称未来六周内住院和死亡人数可能超过第一波病毒浪潮期间的情况时，政府宣布了最严厉的社会限制措施。,True,
"The latest VR technology and 3d filming makes it possible to see the magnificent natural landscapes of Huangshan county , exquisite architecture of the Summer Palace , splendid views of Jiuzhaigou and sacred serenity of Potala Palace with just a few clicks.","The latest VR technology and 3d filming makes it possible to see the magnificent natural landscapes of Huangshan county , exquisite architecture of the Summer Palace , splendid views of Jiuzhaigou and sacred serenity of Potala Palace in just a few clicks.",最新的VR技术和3D拍摄，让黄山壮丽的自然风光、颐和园的精美建筑、九寨沟的壮丽景色、布达拉宫的神圣宁静，只需轻点几下鼠标。,最新的VR技术和3D拍摄，让黄山壮丽的自然风光、颐和园的精美建筑、九寨沟的壮丽景色、布达拉宫的神圣宁静，一览无遗。,True,
The German manager has been heavily critical of the congested fixture list this season and has repeatedly called for teams to be able to use five substitutions in a match in order to prevent more injuries.,The German manager has been highly critical of the congested fixture list this season and has repeatedly called for teams to be able to use five substitutions in a match in order to prevent more injuries.,这位德国主教练一直对本赛季拥挤的赛程表提出严厉批评，并多次呼吁球队在一场比赛中能够使用五次换人，以防止更多的伤病。,这位德国主教练一直对本赛季拥挤的赛程表持批评态度，并多次呼吁球队在一场比赛中能够使用五次换人，以防止更多的伤病。,True,
"On Saturday morning after driving back from Houston , I started feeling a bit of a sore throat and a headache.","On Sunday morning after driving back from Houston , I started feeling a bit of a sore throat and a headache.",星期六早上从休斯敦开车回来后，我开始感到有点喉咙痛和头痛。,周日早上从休斯敦开车回来后，我开始感到喉咙痛和头痛。,True,
"It also mentions that the year marks the 20th anniversary of SCO , and activities like art exhibitions , film festivals , student football tournament and boxing tournament will be held in member countries.","It further mentions that the year marks the 20th anniversary of SCO , and activities like art exhibitions , film festivals , student football tournament and boxing tournament will be held in member countries.",文件还提到，今年是上合组织成立20周年，将在成员国举办艺术展、电影节、学生足球赛、拳击赛等活动。,并进一步提到，今年是上合组织成立20周年，将在成员国举办艺术展、电影节、学生足球赛、拳击赛等活动。,True,
