S_s,S_f,T_s,T_f,Limitation-B,Limitation-text
"When she was working as a statistician at a refrigeration plant after finishing school in Beijing in 1987 , chen never imagined that she would one day become obsessed with dancing.",a statistician at a refrigeration plant,1987年，她在北京一家制冷厂做统计员时，陈从未想过有一天她会迷上舞蹈。,制冷厂的统计学家,,
"prioritize safety such as the punt returns , kickoffs and kick returns from the game to limit plays that can often result in injuries.","the punt returns , kickoffs and kick returns",优先考虑安全，例如平底球返回，开球和踢球返回比赛，以限制经常可能导致受伤的比赛。,平底船返回，开球和踢返回,,
"But most people recognise him for what he is , the Pied piper incarnate , appointed by Hamelin to impersonate its simultaneously favourite and least favourite adopted son.",the Pied piper incarnate,但大多数人都认出他是什么，由哈梅林任命的Pied吹笛手化身，冒充它同时喜欢和最不喜欢的养子。,吹笛人化身,True,
"The event attracted 285 enterprise from 30 countries , a number smaller than previous years due to the pandemic.","30 countries , a number smaller than previous years",该活动吸引了来自30个国家的285家企业，由于大流行，数量比往年有所减少。,30个国家，比往年少,True,
"The Federal Communications Commission ( FCC ) will draft regulations intended for social media companies following a decision earlier this year by the Trump administration , the agency ' s chairman said Thursday.",The Federal Communications Commission,美国联邦通信委员会将在今年早些时候特朗普政府的决定后起草针对社交媒体公司的法规，该机构主席周四表示。,联邦通信委员会,True,
a local buyer of dozens of remaining relics,dozens of remaining relics,当地买家购买数十件剩余文物,数十件遗物,,
The banana is believed to be one of the world ’ s earliest and most cultivated fruits and has travelled far and wide from its humble origins in India and South - East Asia.,India and South - East Asia.,香蕉被认为是世界上最早和种植最多的水果之一，并且从印度和南亚的卑微起源开始传播到很远很远的地方。,印度和东南亚。,,
the corporate headquarters of Terminus group in Beijing,Terminus group in Beijing,特米纳斯集团北京公司总部,北京总站集团,True,
Mortgage payment holidays are being extended for homeowners financially affected by the pandemic.,Mortgage payment holidays,受疫情经济影响的房主的抵押贷款还款假期正在延长。,房屋贷款还款假期,True,
"The village then began to establish basic infrastructure and develop modern agriculture , such as tea plantations and cultivating cloud ear crops.",cloud ear crops.,随后，该村开始建立基础设施和发展现代农业，如茶园和种植云穗作物。,云耳作物。,,
"A culture featuring hanfu attire festival was held in Chengdu , aiming to display the charm of traditional Chinese costume design.",A culture featuring hanfu attire festival,成都举办了以汉服文化为特色的服装节，旨在展示中国传统服饰设计的魅力。,以汉服为特色的文化,True,
