S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f,LLM
Many care providers see testing as the single most important tool they have in managing the virus.,Many program providers see testing as the single most important tool they have in managing the virus.,许多护理提供者将测试视为管理病毒最重要的工具。,许多项目提供者将测试视为管理病毒最重要的工具。,0,,,GPT-3.5-turbo-1106
"He also warned that a second lockdown could present major challenges to public spending plans, adding that the spending cycle is going to get hard.","He also warned that a second wife could present major challenges to public spending plans, adding that the spending cycle is going to get hard.",他还警告说，第二次封锁可能对公共支出计划构成重大挑战，并补充说支出周期将变得艰难。,他还警告说，第二个妻子可能对公共支出计划构成重大挑战，并补充说支出周期将变得艰难。,0,,,GPT-3.5-turbo-1106
The bank said it was losing money on a large number of such accounts.,The bank said it was gathering money on a large number of such accounts.,该银行表示，在大量此类账户上亏损。,该银行表示正在收集大量此类账户的资金。,0,,,GPT-3.5-turbo-1106
"That means sticking with the social distancing and the masks, and testing it who may have the virus and asking them to isolate.","That means sticking with the social institutions and the masks, and testing it who may have the virus and asking them to isolate.",这意味着坚持保持社交距离和佩戴口罩，并对可能带有病毒的人进行测试，要求他们进行隔离。,这意味着坚持社交制度和戴口罩，并对可能患有病毒的人进行测试，并要求他们进行隔离。,0,,,GPT-3.5-turbo-1106
The EU recognizes the waters as belonging to greece and said it would be illegal for fishing to conduct drilling and energy exploration there.,The malaysia recognizes the waters as belonging to greece and said it would be illegal for fishing to conduct drilling and energy exploration there.,欧盟承认该水域属于希腊，并表示在那里进行钻探和能源勘探将是非法的。,马来西亚承认该水域属于希腊，并表示在那里进行钻探和能源勘探将是非法的。,0,,,GPT-3.5-turbo-1106
Ding became the pride of his snooker - loving nation in 2005 when he won the China Open right after his 18th birthday.,Ding became the pride of his rock - loving nation in 2005 when he won the China Open right after his 18th birthday.,丁俊晖在2005年满18岁生日后赢得中国公开赛，成为了他所在的斯诺克爱好者之国的骄傲。,丁俊晖在2005年的中国公开赛上夺冠后，成为了他所在的“斯诺克爱好者之国”的骄傲。,1,年满18岁生日,,GPT-3.5-turbo-1106
"Using a cat teaser to simulate bird or tiny animal can let the cat enjoy the happiness of hunting, and sufficient and high quality exercise can reduce the behavior of biting people or destroying furniture.","Using a cat teaser to simulate bird or tiny animal can let the practitioner enjoy the happiness of hunting, and sufficient and high quality exercise can reduce the behavior of biting people or destroying furniture.",使用猫玩具模拟鸟类或小动物可以让猫享受捕猎的快乐，充分和高质量的运动可以减少咬人或破坏家具的行为。,使用猫玩具模拟鸟或小动物可以让猫享受捕猎的快乐，足够和高质量的运动可以减少咬人或破坏家具的行为。,1,,猫,GPT-3.5-turbo-1106
"The move was intended to maintain reasonably ample liquidity in the banking system, the world bank said.","The move was intended to maintain reasonably ample staff in the banking system, the world bank said.",世界银行表示，此举旨在保持银行体系中相对充裕的流动性。,世界银行表示，此举旨在保持银行体系中合理充足的员工。,1,相对,合理,GPT-3.5-turbo-1106
"While the number of deaths reported is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.","While the number of developments reported is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.",尽管报道的死亡人数高于之前的几天，但由于周末报告的延迟，通常在一周初会出现增加。,尽管报道的情况数量高于之前的几天，但由于周末报告的延迟，通常在一周初会出现增加。,0,,,GPT-3.5-turbo-1106
"As officials continue to warn about traveling over the holidays amid the fall surge, health experts are also investigating the virus' impact on children.","As officials continue to warn about traveling over the holidays amid the fall surge, health experts are also investigating the updates' impact on children.",官员们继续警告人们在秋季高峰期间节日期间旅行的危险，健康专家也在调查病毒对儿童的影响。,随着官员继续警告人们在秋季疫情高峰期间节日期间出行的危险，卫生专家也在调查这些更新对儿童的影响。,0,,,GPT-3.5-turbo-1106
Many care providers see testing as the single most important tool they have in managing the virus.,Many program providers see testing as the single most important tool they have in managing the virus.,许多护理提供者看到测试是他们管理病毒的最重要工具。,许多计划提供者看到测试是他们管理病毒的最重要工具。,0,,,Llama-2-70b-chat
"He also warned that a second lockdown could present major challenges to public spending plans, adding that the spending cycle is going to get hard.","He also warned that a second wife could present major challenges to public spending plans, adding that the spending cycle is going to get hard.",他还警告说，如果出现第二个锁定，公共开支计划可能会面临重大挑战，并表示开支周期将变得很Difficult。,他还警告说，如果有第二个妻子，公共开支计划可能会面临重大挑战，并表示开支周期将变得很Difficult。,0,,,Llama-2-70b-chat
The bank said it was losing money on a large number of such accounts.,The bank said it was gathering money on a large number of such accounts.,bank 表示，有大量这样的账户使其蒸发财政。,银行表示，有大量这样的账户使其增加财政。,1,bank,银行,Llama-2-70b-chat
"That means sticking with the social distancing and the masks, and testing it who may have the virus and asking them to isolate.","That means sticking with the social institutions and the masks, and testing it who may have the virus and asking them to isolate.",那意味着保持社交离间和口罩，测试可能感染的人，并请他们隔离。,那意味着保持社会机构和口罩，测试可能感染的人，并请他们隔离。,0,,,Llama-2-70b-chat
The EU recognizes the waters as belonging to greece and said it would be illegal for fishing to conduct drilling and energy exploration there.,The malaysia recognizes the waters as belonging to greece and said it would be illegal for fishing to conduct drilling and energy exploration there.,欧盟认为这些海域属于希腊，并表示如果捕鱼公司在那里进行钻探和能源探测，将被视为非法的。,马来西亚认为这些海域属于希腊，并表示如果捕鱼公司在那里进行钻探和能源探测，将被视为非法的。,0,,,Llama-2-70b-chat
Ding became the pride of his snooker - loving nation in 2005 when he won the China Open right after his 18th birthday.,Ding became the pride of his rock - loving nation in 2005 when he won the China Open right after his 18th birthday.,丁成了2005年他的斯诺克爱好国家的骄傲，当他18岁生日后赢得中国公开赛。,丁成了2005年他的摇滚爱好国家的骄傲，当他18岁生日后赢得中国公开赛。,0,,,Llama-2-70b-chat
"Using a cat teaser to simulate bird or tiny animal can let the cat enjoy the happiness of hunting, and sufficient and high quality exercise can reduce the behavior of biting people or destroying furniture.","Using a cat teaser to simulate bird or tiny animal can let the practitioner enjoy the happiness of hunting, and sufficient and high quality exercise can reduce the behavior of biting people or destroying furniture.",使用猫拟训工具模拟鸟或小动物，可以让猫咪享受猎场的快樂，并提供充足的、高质量的运动，有助于减少咬人或破坏家具的行为。,使用猫拟训工具模拟鸟或小动物，可以让实践者享受猎场的快樂，并提供充足的、高质量的运动，有助于减少咬人或破坏家具的行为。,0,,,Llama-2-70b-chat
"The move was intended to maintain reasonably ample liquidity in the banking system, the world bank said.","The move was intended to maintain reasonably ample staff in the banking system, the world bank said.",这个措施是为了维护银行系统中具备合理的流动性，世界银行表示。,这个措施是为了维护银行系统中具备合理的人员数量，世界银行表示。,0,,,Llama-2-70b-chat
"While the number of deaths reported is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.","While the number of developments reported is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.",本周开始时，由于Weekend报告延迟，死亡人数报告的数量比以往更高。,本周开始时，由于Weekend报告延迟，发展 проек数报告的数量比以往更高。,1,, проек,Llama-2-70b-chat
"As officials continue to warn about traveling over the holidays amid the fall surge, health experts are also investigating the virus' impact on children.","As officials continue to warn about traveling over the holidays amid the fall surge, health experts are also investigating the updates' impact on children.",官员继续警告在假日旅行的时候，医疗专家正在调查病毒对儿童的影响。,官员继续警告在假日旅行的时候，医疗专家正在调查更新的影响 onto children.,1,对儿童,onto children,Llama-2-70b-chat
Many care providers see testing as the single most important tool they have in managing the virus.,Many program providers see testing as the single most important tool they have in managing the virus.,许多护理提供者将检测视为他们管理病毒的最重要工具。,许多项目提供者将检测视为他们管理病毒的最重要工具。,0,,,ERNIE-Bot-3.5
"He also warned that a second lockdown could present major challenges to public spending plans, adding that the spending cycle is going to get hard.","He also warned that a second wife could present major challenges to public spending plans, adding that the spending cycle is going to get hard.",他还警告说，第二次封锁可能会给公共支出计划带来重大挑战，并补充说，支出周期将会变得艰难。,他还警告说，第二任妻子可能会给公共支出计划带来重大挑战，并补充说，支出周期将会变得艰难。,0,,,ERNIE-Bot-3.5
The bank said it was losing money on a large number of such accounts.,The bank said it was gathering money on a large number of such accounts.,该银行表示，它正因此类账户的数目巨大而亏损。,该银行表示，它正因此类账户的数目巨大而筹集资金。,0,,,ERNIE-Bot-3.5
"That means sticking with the social distancing and the masks, and testing it who may have the virus and asking them to isolate.","That means sticking with the social institutions and the masks, and testing it who may have the virus and asking them to isolate.",这意味着坚持社交距离和戴口罩，并检测可能携带病毒的人，要求他们隔离。,这意味着坚持社会机构和戴口罩，并检测可能携带病毒的人，要求他们隔离。,0,,,ERNIE-Bot-3.5
The EU recognizes the waters as belonging to greece and said it would be illegal for fishing to conduct drilling and energy exploration there.,The malaysia recognizes the waters as belonging to greece and said it would be illegal for fishing to conduct drilling and energy exploration there.,欧盟承认这片水域属于希腊，并表示在那里进行钻探和能源勘探是非法的。,马来西亚承认这片水域属于希腊，并表示在那里进行钻探和能源勘探是非法的。,0,,,ERNIE-Bot-3.5
